conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
WSC South,Citrus,29,28,1,2235.0,105.0,96.5,8.5,3.4,2.56,-3.777,-1.524,{'team_missing_from_box': 1}
Orange Empire Athletic,Irvine Valley,30,26,4,1777.6,95.5,91.4,4.1,1.64,-1.24,-3.65,-3.558,"{'incomplete_minutes_total': 3, 'team_missing_from_box': 1}"
Orange Empire Athletic,Saddleback,30,26,4,1807.4,101.1,94.8,6.3,2.5,0.98,-4.191,-2.015,"{'incomplete_minutes_total': 1, 'team_missing_from_box': 3}"
Orange Empire Athletic,Santa Ana,28,26,2,1879.9,92.8,99.8,-7.0,-2.79,-2.32,-8.424,-5.269,"{'team_missing_from_box': 1, 'incomplete_player_box': 1}"
Orange Empire Athletic,Santiago Canyon,30,26,4,2031.7,122.7,92.1,30.6,12.23,9.61,2.375,3.899,"{'score_total_mismatch': 1, 'team_missing_from_box': 2, 'incomplete_minutes_total': 1}"
WSC South,Santa Monica,30,26,4,2024.6,108.3,93.3,15.0,6.01,3.86,-2.339,-0.599,"{'team_missing_from_box': 3, 'score_total_mismatch': 1}"
Orange Empire Athletic,Cypress,29,25,4,1695.2,95.6,89.7,5.9,2.36,-1.2,-4.775,-4.831,"{'incomplete_minutes_total': 3, 'team_missing_from_box': 1}"
Orange Empire Athletic,Fullerton,28,25,3,1793.5,99.8,84.1,15.7,6.27,0.47,-0.965,-2.816,{'team_missing_from_box': 3}
Orange Empire Athletic,Golden West,28,25,3,2020.4,88.2,106.8,-18.5,-7.4,-4.15,-12.358,-6.315,"{'incomplete_minutes_total': 2, 'incomplete_player_box': 1}"
Orange Empire Athletic,Orange Coast,28,25,3,2040.0,83.2,112.0,-28.8,-11.51,-6.17,-16.991,-8.473,"{'incomplete_player_box': 2, 'team_missing_from_box': 1}"
WSC South,Glendale,28,25,3,1816.9,94.3,106.9,-12.6,-5.04,-1.71,-10.53,-4.616,"{'incomplete_minutes_total': 1, 'team_missing_from_box': 2}"
WSC North,Allan Hancock,30,24,6,1829.8,105.7,88.8,16.9,6.75,2.83,-0.576,-0.673,"{'incomplete_minutes_total': 4, 'team_missing_from_box': 1, 'score_total_mismatch': 1}"
WSC North,Santa Barbara,26,24,2,1770.7,80.7,110.3,-29.6,-11.84,-7.17,-15.465,-8.625,{'incomplete_minutes_total': 2}
South Coast-North,Rio Hondo,28,23,5,1874.0,92.6,104.5,-12.0,-4.78,-2.42,-12.126,-6.259,"{'incomplete_minutes_total': 3, 'team_missing_from_box': 2}"
South Coast-South,Compton,28,23,5,1932.9,94.0,101.1,-7.2,-2.88,-1.87,-9.601,-5.379,"{'incomplete_minutes_total': 3, 'score_total_mismatch': 1, 'incomplete_player_box': 1}"
WSC South,LA Valley,30,23,7,1664.8,104.4,93.0,11.4,4.56,2.31,-3.235,-1.98,"{'incomplete_minutes_total': 5, 'team_missing_from_box': 1, 'score_total_mismatch': 1}"
Inland Empire Athletic,Mt. San Jacinto,29,22,7,1739.7,100.5,93.7,6.8,2.74,0.77,-4.826,-3.689,"{'incomplete_minutes_total': 4, 'team_missing_from_box': 2, 'score_total_mismatch': 1}"
WSC South,Antelope Valley,29,22,7,1693.5,101.6,105.0,-3.5,-1.39,1.18,-7.783,-2.074,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 2, 'incomplete_player_box': 2, 'team_missing_from_box': 1}"
WSC South,West LA,30,22,8,1822.0,111.0,99.5,11.5,4.61,4.96,-3.535,0.379,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 3, 'team_missing_from_box': 4}"
Inland Empire Athletic,San Bernardino Valley,30,21,9,1579.1,107.4,93.0,14.4,5.75,3.51,-2.256,-0.74,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 3, 'team_missing_from_box': 3, 'incomplete_player_box': 2}"
Pacific Coast Athletic,San Diego City,58,21,37,1741.9,109.7,85.1,24.6,9.83,4.43,1.054,0.032,"{'team_missing_from_box': 28, 'incomplete_minutes_total': 9}"
