date,opponent,venue,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-01,LA Valley,Home,1,made_ft,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,1,made_ft,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,oreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,1,made_ft,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,foul,,,,,,,shooting,,2,2,,2,
2025-11-01,LA Valley,Home,2,made_fg,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,foul,,,,,,,nonshoot,,,,,0,
2025-11-01,LA Valley,Home,2,made_fg,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,made,1,,,,,,,,,2,
2025-11-01,LA Valley,Home,3,made_fg,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,3pa,made,1,,,,,,,,,3,
2025-11-01,LA Valley,Home,4,steal,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,5,dreb,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,deflection,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,5,dreb,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,5,dreb,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,6,dreb,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,6,dreb,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,oreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,6,dreb,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,blocked,,,,,,,,,,0,
2025-11-01,LA Valley,Home,6,dreb,,,,,,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,7,made_fg,1,15:56,11,7,4,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney / #24 Aeneas Grullon,shot,2pa,made,,,,,,,,,,2,
2025-11-01,LA Valley,Home,8,steal,1,15:56,11,7,4,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney / #24 Aeneas Grullon,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,9,dreb,1,15:56,11,7,4,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney / #24 Aeneas Grullon,shot,3pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,9,dreb,1,15:56,11,7,4,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney / #24 Aeneas Grullon,oreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,9,dreb,1,15:56,11,7,4,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney / #24 Aeneas Grullon,shot,2pa,blocked,,,,,,,,,,0,
2025-11-01,LA Valley,Home,9,dreb,1,15:56,11,7,4,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney / #24 Aeneas Grullon,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,10,made_fg,1,15:56,11,7,4,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney / #24 Aeneas Grullon,shot,2pa,made,1,1,,,,,,,,2,
2025-11-01,LA Valley,Home,11,made_fg,1,15:56,11,7,4,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney / #24 Aeneas Grullon,foul,,,,,,,nonshoot,,,,,0,
2025-11-01,LA Valley,Home,11,made_fg,1,15:56,11,7,4,,#4 Markus Steele / #5 Tidiane Sy / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,2pa,made,1,,,,,,,,,2,
2025-11-01,LA Valley,Home,12,steal,1,15:56,11,7,4,,#4 Markus Steele / #5 Tidiane Sy / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,13,turnover,1,15:56,11,7,4,,#4 Markus Steele / #5 Tidiane Sy / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,turnover,,,,,,,,,,,deadball,0,
2025-11-01,LA Valley,Home,14,made_fg,1,15:56,11,7,4,,#4 Markus Steele / #5 Tidiane Sy / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,3pa,made,1,,,,,,,,,3,
2025-11-01,LA Valley,Home,15,steal,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,16,made_fg,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,foul,,,,,,,shooting,,1,2,,1,
2025-11-01,LA Valley,Home,16,made_fg,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,oreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,16,made_fg,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,2pa,made,1,1,1,,,,,,,2,
2025-11-01,LA Valley,Home,17,dreb,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,17,dreb,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,18,steal,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,19,steal,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,foul,,,,,,,nonshoot,,,,,0,
2025-11-01,LA Valley,Home,19,steal,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,20,turnover,1,12:19,24,16,8,,#5 Tidiane Sy / #12 Dominique Brutus / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,deflection,,,,,,,,,,,,0,
