date,opponent,venue,side,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-15,San Bernardino Valley,Away,def,1,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,made,1,,,,,,,,,2,
2025-11-15,San Bernardino Valley,Away,def,2,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,3pa,missed,,,,,,,,,,0,
2025-11-15,San Bernardino Valley,Away,def,2,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-15,San Bernardino Valley,Away,def,3,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,missed,,,,,,,,,,0,
2025-11-15,San Bernardino Valley,Away,def,3,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-15,San Bernardino Valley,Away,def,4,steal,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,blocked,,,,,,,,,,0,
2025-11-15,San Bernardino Valley,Away,def,4,steal,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,oreb,,,,,,,,,,,,0,
2025-11-15,San Bernardino Valley,Away,def,4,steal,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,turnover,,,,,,,,,,,steal,0,
2025-11-15,San Bernardino Valley,Away,def,5,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,missed,,,,,,,,,,0,
2025-11-15,San Bernardino Valley,Away,def,5,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
