date,opponent,venue,side,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-16,East Los Angeles,Neutral,def,1,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,made,1,1,,,,,,,,2,
2025-11-16,East Los Angeles,Neutral,def,2,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,3pa,made,1,,,,,,,,,3,
2025-11-16,East Los Angeles,Neutral,def,3,made_ft,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,foul,,,,,,,shooting,,2,2,,2,
2025-11-16,East Los Angeles,Neutral,def,4,turnover,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,foul,,,,,,,nonshoot,,,,,0,
2025-11-16,East Los Angeles,Neutral,def,4,turnover,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,3pa,missed,,,,,,,,,,0,
2025-11-16,East Los Angeles,Neutral,def,4,turnover,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,oreb,,,,,,,,,,,,0,
2025-11-16,East Los Angeles,Neutral,def,4,turnover,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,turnover,,,,,,,,,,,offfoul,0,
2025-11-16,East Los Angeles,Neutral,def,5,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,made,,,,,,,,,,2,
2025-11-16,East Los Angeles,Neutral,def,6,steal,1,20:00,0,0,0,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney,deflection,,,,,,,,,,,,0,
2025-11-16,East Los Angeles,Neutral,def,6,steal,1,20:00,0,0,0,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney,deflection,,,,,,,,,,,,0,
2025-11-16,East Los Angeles,Neutral,def,6,steal,1,20:00,0,0,0,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney,turnover,,,,,,,,,,,steal,0,
2025-11-16,East Los Angeles,Neutral,def,7,steal,1,17:03,2,9,7,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney,turnover,,,,,,,,,,,steal,0,
2025-11-16,East Los Angeles,Neutral,def,8,made_fg,1,16:16,7,9,2,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney,shot,3pa,made,1,,,,,,,,,3,
2025-11-16,East Los Angeles,Neutral,def,9,made_fg,1,16:16,7,9,2,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #22 Roman Finney,shot,3pa,made,1,,,,,,,,,3,
2025-11-16,East Los Angeles,Neutral,def,10,made_fg,1,15:21,7,15,8,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #21 Jacob Jordan,shot,3pa,made,1,,,,,,,,,3,
2025-11-16,East Los Angeles,Neutral,def,11,made_fg,1,15:21,7,15,8,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #21 Jacob Jordan,shot,2pa,made,,,,,,,,,,2,
2025-11-16,East Los Angeles,Neutral,def,12,turnover,1,14:16,7,20,13,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #21 Jacob Jordan,foul,,,,,,,nonshoot,,,,,0,
2025-11-16,East Los Angeles,Neutral,def,12,turnover,1,14:16,7,20,13,,#2 Aiden Bitran / #3 Eric Kubel / #11 Elijah Elohim / #12 Dominique Brutus / #21 Jacob Jordan,turnover,,,,,,,,,,,offfoul,0,
2025-11-16,East Los Angeles,Neutral,def,13,steal,1,14:16,7,20,13,,#2 Aiden Bitran / #3 Eric Kubel / #11 Elijah Elohim / #12 Dominique Brutus / #21 Jacob Jordan,deflection,,,,,,,,,,,,0,
2025-11-16,East Los Angeles,Neutral,def,13,steal,1,14:16,7,20,13,,#2 Aiden Bitran / #3 Eric Kubel / #11 Elijah Elohim / #12 Dominique Brutus / #21 Jacob Jordan,shot,3pa,missed,,,,,,,,,,0,
2025-11-16,East Los Angeles,Neutral,def,13,steal,1,14:16,7,20,13,,#2 Aiden Bitran / #3 Eric Kubel / #11 Elijah Elohim / #12 Dominique Brutus / #21 Jacob Jordan,oreb,,,,,,,,,,,,0,
2025-11-16,East Los Angeles,Neutral,def,13,steal,1,14:16,7,20,13,,#2 Aiden Bitran / #3 Eric Kubel / #11 Elijah Elohim / #12 Dominique Brutus / #21 Jacob Jordan,turnover,,,,,,,,,,,steal,0,
2025-11-16,East Los Angeles,Neutral,def,14,steal,1,13:33,10,20,10,,#2 Aiden Bitran / #11 Elijah Elohim / #12 Dominique Brutus / #14 Jozef Zlocha / #31 Noah Cotton,turnover,,,,,,,,,,,steal,0,
