date,opponent,venue,side,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-19,Palomar,Home,def,1,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,shot,3pa,made,1,,,,,,,,,3,
2025-11-19,Palomar,Home,def,2,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,shot,2pa,made,,1,,,,,,,,2,
2025-11-19,Palomar,Home,def,3,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,shot,3pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,3,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,dreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,4,made_fg,1,18:28,2,5,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,shot,3pa,made,1,,,,,,,,,3,
2025-11-19,Palomar,Home,def,5,steal,1,18:28,2,5,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,shot,3pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,5,steal,1,18:28,2,5,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,oreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,5,steal,1,18:28,2,5,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,turnover,,,,,,,,,,,steal,0,
2025-11-19,Palomar,Home,def,6,turnover,1,17:25,4,8,4,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,turnover,,,,,,,,,,,other,0,
2025-11-19,Palomar,Home,def,7,dreb,1,17:25,4,8,4,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,shot,3pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,7,dreb,1,17:25,4,8,4,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,dreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,8,steal,1,17:25,4,8,4,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,turnover,,,,,,,,,,,steal,0,
2025-11-19,Palomar,Home,def,9,dreb,1,15:35,8,8,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #12 Dominique Brutus / #20 Jake Field,shot,2pa,missed,,,,,,,,,,0,
