date,opponent,venue,side,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-01,LA Valley,Home,off,1,dreb,,,,,,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,off,1,dreb,,,,,,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,off,2,dreb,,,,,,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,shot,3pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,off,2,dreb,,,,,,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,off,3,dreb,,,,,,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,foul,,,,,,,nonshoot,1,,1,,0,
2025-11-01,LA Valley,Home,off,3,dreb,,,,,,1,#5 Tidiane Sy / #10 Zach Bauman / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,off,4,dreb,,,,,,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,shot,3pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,off,4,dreb,,,,,,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,off,5,dreb,,,,,,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,shot,3pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,off,5,dreb,,,,,,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,off,6,dreb,,,,,,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,off,6,dreb,,,,,,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,off,7,turnover,,,,,,1,#10 Zach Bauman / #12 Dominique Brutus / #14 Jozef Zlocha / #15 Parsa Kamali / #32 Ethan McLennan,turnover,,,,,,,,,,,other,0,
