date,opponent,venue,side,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-02,Los Angeles City,Home,off,1,made_fg,2,5:00,78,55,23,1,#1 Josh Castaniero / #10 Zach Bauman / #14 Jozef Zlocha / #20 Jake Field / #22 Roman Finney,shot,2pa,made,1,1,,,,,,,,2,
2025-11-02,Los Angeles City,Home,off,2,made_fg,2,5:00,78,55,23,1,#1 Josh Castaniero / #10 Zach Bauman / #14 Jozef Zlocha / #20 Jake Field / #22 Roman Finney,shot,2pa,made,1,1,,1,,,,,,2,
2025-11-02,Los Angeles City,Home,off,3,made_fg,2,5:00,78,55,23,1,#1 Josh Castaniero / #10 Zach Bauman / #14 Jozef Zlocha / #20 Jake Field / #22 Roman Finney,shot,2pa,made,1,1,,1,,,,,,2,
2025-11-02,Los Angeles City,Home,off,4,dreb,2,5:00,78,55,23,1,#1 Josh Castaniero / #10 Zach Bauman / #14 Jozef Zlocha / #20 Jake Field / #22 Roman Finney,shot,3pa,missed,,,,,,,,,,0,
2025-11-02,Los Angeles City,Home,off,4,dreb,2,5:00,78,55,23,1,#1 Josh Castaniero / #10 Zach Bauman / #14 Jozef Zlocha / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-02,Los Angeles City,Home,off,5,made_fg,2,5:00,78,55,23,1,#1 Josh Castaniero / #10 Zach Bauman / #14 Jozef Zlocha / #20 Jake Field / #22 Roman Finney,shot,2pa,made,1,1,,1,,,,,,2,
2025-11-02,Los Angeles City,Home,off,6,steal,2,5:00,78,55,23,1,#5 Tidiane Sy / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,turnover,,,,,,,,,,,steal,0,
2025-11-02,Los Angeles City,Home,off,7,made_fg,2,5:00,78,55,23,1,#5 Tidiane Sy / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,shot,2pa,missed,,,,,,,,,,0,
2025-11-02,Los Angeles City,Home,off,7,made_fg,2,5:00,78,55,23,1,#5 Tidiane Sy / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,oreb,,,,,,,,,,,,0,
2025-11-02,Los Angeles City,Home,off,7,made_fg,2,5:00,78,55,23,1,#5 Tidiane Sy / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,shot,2pa,made,,1,1,,,,,,,2,
2025-11-02,Los Angeles City,Home,off,8,steal,2,5:00,78,55,23,1,#5 Tidiane Sy / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,turnover,,,,,,,,,,,steal,0,
2025-11-02,Los Angeles City,Home,off,9,dreb,2,5:00,78,55,23,1,#5 Tidiane Sy / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,shot,3pa,missed,,,,,,,,,,0,
2025-11-02,Los Angeles City,Home,off,9,dreb,2,5:00,78,55,23,1,#5 Tidiane Sy / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,dreb,,,,,,,,,,,,0,
2025-11-02,Los Angeles City,Home,off,10,dreb,2,5:00,78,55,23,1,#5 Tidiane Sy / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,shot,2pa,missed,,,,,,,,,,0,
2025-11-02,Los Angeles City,Home,off,10,dreb,2,5:00,78,55,23,1,#5 Tidiane Sy / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,oreb,,,,,,,,,,,,0,
2025-11-02,Los Angeles City,Home,off,10,dreb,2,5:00,78,55,23,1,#5 Tidiane Sy / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,shot,2pa,missed,,,,,,,,,,0,
2025-11-02,Los Angeles City,Home,off,10,dreb,2,5:00,78,55,23,1,#5 Tidiane Sy / #12 Dominique Brutus / #15 Parsa Kamali / #32 Ethan McLennan / #33 Tyler Hook,dreb,,,,,,,,,,,,0,
