Moorpark College — 29 Games — All Athletes — Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #4 M.S. / #20 J.F. / #22 R.F.,0,57.00%,13.60%,42.40%,73.80%,0.13,1.5,0,54,114,47.40%,57.00%,0,32,66,48.50%,0,22,48,45.80%,0,9,15,60.00%,0,139,105,0.96,19.9,+ 34,65,0,30,24,27,46,0,25,42.40%,45,73.80%,70,0,36,19,1.89,13.60%,0,5,40.00%,0.8,8,75.00%,1.88,0,16,13,7,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #22 R.F.,0,53.10%,14.20%,43.80%,66.70%,0.28,1.34,0,30,64,46.90%,53.10%,0,22,37,59.50%,0,8,27,29.60%,0,10,18,55.60%,0,78,64,0.98,8.7,+ 14,43,0,18,14,13,34,0,14,43.80%,28,66.70%,42,0,24,12,2,14.20%,0,6,83.30%,1.33,5,40.00%,0.6,0,16,3,8,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #22 R.F.,0,49.30%,9.90%,33.30%,61.10%,0.18,1.22,0,29,67,43.30%,49.30%,0,21,36,58.30%,0,8,31,25.80%,0,11,12,91.70%,0,77,68,1.14,11,+ 9,37,0,7,15,12,36,0,12,33.30%,22,61.10%,34,0,12,8,1.5,9.90%,0,8,62.50%,1.38,2,50.00%,1.5,0,7,7,3,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #14 J.Z. / #20 J.F. / #22 R.F.,0,55.00%,11.00%,24.20%,70.60%,0.17,1.39,0,28,60,46.70%,55.00%,0,18,31,58.10%,0,10,29,34.50%,0,6,10,60.00%,0,72,48,1.01,7.2,+ 24,37,0,12,24,7,28,0,8,24.20%,24,70.60%,32,0,21,8,2.63,11.00%,0,5,40.00%,0.6,6,33.30%,0.67,0,10,8,1,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #14 J.Z. / #20 J.F. / #31 N.C.,0,71.80%,9.00%,29.40%,68.40%,0.08,2.04,0,22,39,56.40%,71.80%,0,10,21,47.60%,0,12,18,66.70%,0,2,3,66.70%,0,58,42,1.49,19.3,+ 16,22,0,7,4,6,16,0,5,29.40%,13,68.40%,18,0,15,4,3.75,9.00%,0,2,50.00%,1.5,1,100.00%,3,0,3,2,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #5 T.S. / #12 D.B. / #22 R.F.,0,40.90%,18.40%,19.00%,72.20%,0.15,1.06,0,12,33,36.40%,40.90%,0,9,19,47.40%,0,3,14,21.40%,0,4,5,80.00%,0,31,40,0.92,6.2,-9,21,0,7,9,4,16,0,4,19.00%,13,72.20%,17,0,9,8,1.13,18.40%,0,4,50.00%,1,3,33.30%,0.67,0,7,7,3,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #5 T.S. / #14 J.Z. / #20 J.F.,0,50.00%,15.60%,38.10%,87.50%,0.17,1.19,0,15,35,42.90%,50.00%,0,10,18,55.60%,0,5,17,29.40%,0,3,6,50.00%,0,38,21,1.04,12.7,+ 17,20,0,4,10,8,20,0,8,38.10%,14,87.50%,22,0,11,7,1.57,15.60%,0,3,0.00%,0,5,20.00%,0.2,0,8,5,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #14 J.Z. / #22 R.F. / #31 N.C.,0,35.40%,21.30%,33.30%,75.00%,0.17,0.86,0,7,24,29.20%,35.40%,0,4,12,33.30%,0,3,12,25.00%,0,4,4,100.00%,0,21,20,0.64,2.6,+ 1,19,0,4,2,6,6,0,5,33.30%,9,75.00%,14,0,5,7,0.71,21.30%,0,3,33.30%,1,3,100.00%,1.33,0,3,3,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #5 T.S. / #14 J.Z. / #22 R.F.,0,38.90%,12.00%,33.30%,61.50%,0.19,1.03,0,9,27,33.30%,38.90%,0,6,15,40.00%,0,3,12,25.00%,0,3,5,60.00%,0,24,25,0.96,6,-1,13,0,4,2,6,6,0,6,33.30%,8,61.50%,14,0,6,4,1.5,12.00%,0,2,0.00%,0,2,0.00%,0,0,5,6,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#3 E.K. / #5 T.S. / #12 D.B. / #14 J.Z. / #22 R.F.,0,20.00%,24.00%,60.00%,16.70%,1.9,0.54,0,2,10,20.00%,20.00%,0,2,7,28.60%,0,0,3,0.00%,0,11,19,57.90%,0,15,26,0.79,15,-11,12,0,2,4,2,4,0,6,60.00%,1,16.70%,7,0,0,6,0,24.00%,0,2,50.00%,0.5,3,66.70%,0.67,0,1,2,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
