MC vs — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #31 N.C.,0,50.0%,33.3%,0.0%,100.0%,0,0.83,0,1,2,50.0%,50.0%,0,1,2,50.0%,0,0,0,-,0,0,0,-,0,2,2,0.67,2,0,1,0,2,2,0,2,0,0,0.0%,1,100.0%,1,0,0,1,0,33.3%,0,0,-,0,0,-,0,0,0,1,0,1,0
#1 J.C. / #2 A.B. / #3 E.K. / #12 D.B. / #31 N.C.,0,50.0%,16.7%,66.7%,33.3%,0,1.6,0,2,5,40.0%,50.0%,0,1,1,100.0%,0,1,4,25.0%,0,0,0,-,0,5,2,1.25,5,+ 3.0,2,0,0,0,0,2,0,2,66.7%,1,33.3%,3,0,2,1,2,16.7%,0,1,0.0%,0,1,100.0%,3,0,1,1,1,1,0
#1 J.C. / #3 E.K. / #4 M.S. / #20 J.F. / #22 R.F.,0,75.0%,5.1%,50.0%,57.1%,0.06,2,0,11,18,61.1%,75.0%,0,6,8,75.0%,0,5,10,50.0%,0,0,1,0.0%,0,27,19,1.64,27,+ 8.0,10,0,7,5,3,4,0,3,50.0%,4,57.1%,7,0,9,1,9,5.1%,0,1,100.0%,2,1,0.0%,0,0,1,3,0,6,0
#1 J.C. / #3 E.K. / #4 M.S. / #22 R.F. / #24 A.G.,0,40.0%,0.0%,33.3%,50.0%,0,1.5,0,2,5,40.0%,40.0%,0,2,3,66.7%,0,0,2,0.0%,0,0,0,-,0,4,4,1,4,0,2,0,4,3,0,2,0,1,33.3%,1,50.0%,2,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,1,1,1,1,0
#1 J.C. / #4 M.S. / #20 J.F. / #31 N.C. / #33 T.H.,0,61.1%,10.0%,25.0%,100.0%,0,2.4,0,5,9,55.6%,61.1%,0,4,6,66.7%,0,1,3,33.3%,0,0,0,-,0,11,6,1.22,11,+ 5.0,4,0,2,6,0,4,0,1,25.0%,4,100.0%,5,0,3,1,3,10.0%,0,1,0.0%,0,1,0.0%,0,0,0,1,0,0,0
#2 A.B. / #3 E.K. / #5 T.S. / #12 D.B. / #31 N.C.,0,50.0%,0.0%,100.0%,-,0,1.5,0,1,2,50.0%,50.0%,0,1,2,50.0%,0,0,0,-,0,0,0,-,0,2,2,2,2,0,1,0,0,0,3,0,0,1,100.0%,0,-,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,0,0
#3 E.K. / #5 T.S. / #14 J.Z. / #30 C.S. / #31 N.C.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,0,0,- 1.0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#4 M.S. / #5 T.S. / #24 A.G. / #30 C.S. / #31 N.C.,0,133.3%,0.0%,-,-,0.67,16,0,3,3,100.0%,133.3%,0,1,1,100.0%,0,2,2,100.0%,0,2,2,100.0%,0,10,5,2.53,10,+ 5.0,2,0,2,5,0,2,0,0,-,0,-,0,0,2,0,0,0.0%,0,0,-,0,0,-,0,0,2,1,0,0,0
#5 T.S. / #10 Z.B. / #14 J.Z. / #15 P.K. / #32 E.M.,0,-,0.0%,0.0%,100.0%,0,0.2,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,1,0.0%,0,0,1,0,0,- 1.0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,2,0
#5 T.S. / #10 Z.B. / #14 J.Z. / #24 A.G. / #30 C.S.,0,60.0%,0.0%,0.0%,100.0%,0.8,1.1,0,3,5,60.0%,60.0%,0,3,4,75.0%,0,0,1,0.0%,0,4,4,100.0%,0,10,8,1.45,10,+ 2.0,3,0,0,0,0,6,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,3,0
#5 T.S. / #12 D.B. / #24 A.G. / #30 C.S. / #31 N.C.,0,57.1%,20.1%,66.7%,50.0%,0.29,1.79,0,4,7,57.1%,57.1%,0,4,6,66.7%,0,0,1,0.0%,0,2,2,100.0%,0,10,7,1.26,10,+ 3.0,4,0,4,6,2,6,0,2,66.7%,1,50.0%,3,0,3,2,1.5,20.1%,0,0,-,0,0,-,0,0,6,3,0,2,0
#5 T.S. / #14 J.Z. / #24 A.G. / #30 C.S. / #31 N.C.,0,64.3%,0.0%,33.3%,75.0%,0.29,2.3,0,4,7,57.1%,64.3%,0,3,4,75.0%,0,1,3,33.3%,0,2,2,100.0%,0,11,10,1.58,11,+ 1.0,4,0,2,0,0,4,0,1,33.3%,3,75.0%,4,0,4,0,0,0.0%,0,1,0.0%,0,0,-,0,0,1,0,0,2,0
#10 Z.B. / #12 D.B. / #14 J.Z. / #15 P.K. / #32 E.M.,0,0.0%,16.7%,20.0%,100.0%,0,0.43,0,0,5,0.0%,0.0%,0,0,3,0.0%,0,0,2,0.0%,0,0,0,-,0,0,3,0,0,- 3.0,2,0,0,2,2,0,0,1,20.0%,1,100.0%,2,0,0,1,0,16.7%,0,0,-,0,0,-,0,0,1,2,0,1,0
