MC vs Los Angeles City — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #5 T.S.,0,0.0%,50.0%,0.0%,100.0%,0,0.5,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0%,2,100.0%,2,0,0,1,0,50.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #10 Z.B. / #14 J.Z.,0,75.0%,0.0%,0.0%,33.3%,0,1.5,0,3,4,75.0%,75.0%,0,3,3,100.0%,0,0,1,0.0%,0,0,0,-,0,6,6,1.5,6,0,3,0,0,2,0,4,0,0,0.0%,1,33.3%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,2,0
#1 J.C. / #2 A.B. / #4 M.S. / #5 T.S. / #24 A.G.,0,40.0%,0.0%,33.3%,-,0,1.13,0,2,5,40.0%,40.0%,0,2,3,66.7%,0,0,2,0.0%,0,0,0,-,0,4,4,1,4,0,2,0,2,2,0,4,0,1,33.3%,0,-,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,2,1,0,1,0
#1 J.C. / #2 A.B. / #10 Z.B. / #14 J.Z. / #24 A.G.,0,41.7%,0.0%,25.0%,-,0,1.4,0,2,6,33.3%,41.7%,0,1,4,25.0%,0,1,2,50.0%,0,0,0,-,0,5,7,1,5,- 2.0,3,0,2,2,0,2,0,1,25.0%,0,-,1,0,2,0,0,0.0%,0,0,-,0,1,0.0%,0,0,2,2,0,1,0
#1 J.C. / #3 E.K. / #4 M.S. / #5 T.S. / #22 R.F.,0,0.0%,75.0%,100.0%,-,0,0.1,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,5,0,0,- 5.0,1,0,0,0,0,0,0,1,100.0%,0,-,1,0,0,3,0,75.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #4 M.S. / #20 J.F. / #22 R.F.,0,67.4%,14.3%,77.8%,61.5%,0.09,1.76,0,13,23,56.5%,67.4%,0,8,14,57.1%,0,5,9,55.6%,0,1,2,50.0%,0,32,11,1.53,32,+ 21.0,12,0,15,9,7,16,0,7,77.8%,8,61.5%,15,0,9,4,2.25,14.3%,0,1,0.0%,0,1,0.0%,0,0,5,4,3,8,0
#1 J.C. / #10 Z.B. / #14 J.Z. / #20 J.F. / #22 R.F.,0,80.0%,0.0%,0.0%,100.0%,0,11.5,0,4,5,80.0%,80.0%,0,4,4,100.0%,0,0,1,0.0%,0,0,0,-,0,8,2,1.6,8,+ 6.0,2,0,6,6,0,8,0,0,0.0%,1,100.0%,1,0,4,0,0,0.0%,0,0,-,0,0,-,0,0,1,3,0,0,0
#2 A.B. / #5 T.S. / #24 A.G. / #30 C.S. / #31 N.C.,0,62.5%,10.6%,25.0%,75.0%,0.13,1.38,0,5,8,62.5%,62.5%,0,5,6,83.3%,0,0,2,0.0%,0,0,1,0.0%,0,10,9,1.18,10,+ 1.0,4,0,4,2,0,8,0,1,25.0%,3,75.0%,4,0,1,1,1,10.6%,0,0,-,0,0,-,0,0,0,1,0,2,0
#2 A.B. / #12 D.B. / #24 A.G. / #30 C.S. / #31 N.C.,0,110.0%,13.5%,100.0%,-,0.6,2,0,4,5,80.0%,110.0%,0,1,2,50.0%,0,3,3,100.0%,0,2,3,66.7%,0,13,6,2.02,13,+ 7.0,3,0,0,6,3,2,0,1,100.0%,0,-,1,0,2,1,2,13.5%,0,0,-,0,0,-,0,0,3,0,0,2,0
#2 A.B. / #14 J.Z. / #24 A.G. / #30 C.S. / #31 N.C.,0,0.0%,25.0%,0.0%,66.7%,0,0.17,0,0,3,0.0%,0.0%,0,0,2,0.0%,0,0,1,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,2,0,0,0,0,0,0,0,0.0%,2,66.7%,2,0,0,1,0,25.0%,0,0,-,0,0,-,0,0,0,0,0,2,0
#2 A.B. / #14 J.Z. / #24 A.G. / #31 N.C. / #33 T.H.,0,66.7%,14.3%,0.0%,100.0%,0,1.8,0,3,6,50.0%,66.7%,0,1,1,100.0%,0,2,5,40.0%,0,0,0,-,0,8,3,1.14,8,+ 5.0,3,0,0,2,0,2,0,0,0.0%,2,100.0%,2,0,2,1,2,14.3%,0,0,-,0,0,-,0,0,3,2,0,1,0
#3 E.K. / #4 M.S. / #5 T.S. / #20 J.F. / #22 R.F.,0,0.0%,50.0%,0.0%,-,0,0.5,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,1,0,50.0%,0,0,-,0,0,-,0,0,1,1,0,0,0
#5 T.S. / #12 D.B. / #15 P.K. / #32 E.M. / #33 T.H.,0,20.0%,28.6%,50.0%,25.0%,0,0.31,0,1,5,20.0%,20.0%,0,1,4,25.0%,0,0,1,0.0%,0,0,0,-,0,2,9,0.4,2,- 7.0,3,0,0,0,2,2,0,2,50.0%,1,25.0%,3,0,0,2,0,28.6%,0,0,-,0,0,-,0,0,0,0,0,2,0
