MC @ ELAC — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #21 J.J.,0,0.0%,50.0%,0.0%,-,0,0,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,5,0,0,- 5.0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,1,0,50.0%,0,0,-,0,0,-,0,0,1,0,0,1,0
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #22 R.F.,0,83.3%,40.0%,0.0%,-,0,1.38,0,2,3,66.7%,83.3%,0,1,2,50.0%,0,1,1,100.0%,0,0,0,-,0,5,6,1,5,- 1.0,2,0,2,5,0,2,0,0,0.0%,0,-,0,0,1,2,0.5,40.0%,0,0,-,0,1,0.0%,0,0,4,2,0,1,0
#1 J.C. / #2 A.B. / #3 E.K. / #12 D.B. / #20 J.F.,0,-,67.8%,-,-,0,0.5,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,1,100.0%,0,1,2,0.68,1,- 1.0,1,0,0,0,0,0,0,0,-,0,-,0,0,0,1,0,67.8%,0,0,-,0,0,-,0,0,1,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #12 D.B. / #31 N.C.,0,-,-,0.0%,50.0%,0,0.5,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,3,0,0,- 3.0,2,0,0,0,0,0,0,0,0.0%,1,50.0%,1,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #2 A.B. / #4 M.S. / #10 Z.B. / #22 R.F.,0,150.0%,0.0%,-,-,3,2.33,0,1,1,100.0%,150.0%,0,0,0,-,0,1,1,100.0%,0,2,3,66.7%,0,5,2,2.06,5,+ 3.0,1,0,0,0,0,0,0,0,-,0,-,0,0,1,0,0,0.0%,0,1,200.0%,2,0,-,0,0,0,0,0,1,0
#1 J.C. / #2 A.B. / #10 Z.B. / #12 D.B. / #22 R.F.,0,50.0%,25.0%,0.0%,33.3%,0,2.25,0,2,4,50.0%,50.0%,0,2,3,66.7%,0,0,1,0.0%,0,0,0,-,0,4,4,0.80,4,0,2,0,0,2,0,4,0,0,0.0%,1,33.3%,1,0,2,1,2.00,25.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #2 A.B. / #10 Z.B. / #12 D.B. / #31 N.C.,0,83.3%,0.0%,50.0%,50.0%,0.33,3.67,0,2,3,66.7%,83.3%,0,1,1,100.0%,0,1,2,50.0%,0,0,1,0.0%,0,5,2,2.02,5,+ 3.0,1,0,0,0,3,2,0,1,50.0%,1,50.0%,2,0,2,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #4 M.S. / #20 J.F. / #22 R.F.,0,25.0%,42.9%,66.7%,0.0%,0,0.38,0,1,4,25.0%,25.0%,0,1,3,33.3%,0,0,1,0.0%,0,0,0,-,0,2,9,0.4,2,- 7.0,3,0,0,2,0,0,0,2,66.7%,0,0.0%,2,0,1,3,0.33,42.9%,0,1,0.0%,0,0,-,0,0,0,0,0,2,0
#1 J.C. / #3 E.K. / #10 Z.B. / #12 D.B. / #14 J.Z.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #10 Z.B. / #12 D.B. / #22 R.F.,0,100.0%,50.0%,-,100.0%,0,2.5,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,2,1,2,0,2,0,0,0,0,2,0,0,-,1,100.0%,1,0,1,1,1,50.0%,0,0,-,0,0,-,0,0,1,0,0,0,0
