MC @ BC — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#2 A.B. / #3 E.K. / #4 M.S. / #5 T.S. / #22 R.F.,0,0.0%,0.0%,0.0%,-,1,0.33,0,0,2,0.0%,0.0%,0,0,2,0.0%,0,0,0,-,0,2,2,100.0%,0,2,3,0.68,2,- 1.0,1,0,0,1,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,1,0.0%,0,1,100.0%,1,0,0,0,0,1,0
#2 A.B. / #3 E.K. / #4 M.S. / #11 E.E. / #20 J.F.,0,50.0%,50.0%,0.0%,25.0%,0,0.83,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,0,0,-,0,2,6,0.5,2,- 4.0,3,0,0,0,0,0,0,0,0.0%,1,25.0%,1,0,1,2,0.5,50.0%,0,0,-,0,1,0.0%,0,0,1,0,0,0,0
#2 A.B. / #3 E.K. / #4 M.S. / #12 D.B. / #30 C.S.,0,125.0%,0.0%,-,100.0%,0,11,0,2,2,100.0%,125.0%,0,1,1,100.0%,0,1,1,100.0%,0,0,0,-,0,5,0,2.5,5,+ 5.0,2,0,0,0,0,0,0,0,-,2,100.0%,2,0,2,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#2 A.B. / #3 E.K. / #4 M.S. / #21 J.J. / #22 R.F.,0,62.5%,0.0%,100.0%,0.0%,0.5,1.2,0,2,4,50.0%,62.5%,0,1,2,50.0%,0,1,2,50.0%,0,0,1,0.0%,0,5,2,1.44,5,+ 1.0,1,0,0,0,3,0,0,1,100.0%,0,0.0%,1,0,2,0,-,0.0%,0,0,-,0,1,100.0%,3,0,1,0,0,1,0
#2 A.B. / #3 E.K. / #4 M.S. / #22 R.F. / #24 A.G.,0,0.0%,0.0%,50.0%,0.0%,0,0.25,0,0,6,0.0%,0.0%,0,0,4,0.0%,0,0,2,0.0%,0,0,0,-,0,0,5,0,0,- 5.0,2,0,0,0,0,0,0,3,50.0%,0,0.0%,3,0,0,0,0,0.0%,0,0,-,0,2,0.0%,0,0,0,0,0,0,0
#2 A.B. / #3 E.K. / #5 T.S. / #10 Z.B. / #30 C.S.,0,100.0%,80.0%,-,100.0%,0,0.5,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,7,0.4,2,- 5.0,2,0,0,0,0,2,0,0,-,1,100.0%,1,0,1,4,0.25,80.0%,0,0,-,0,0,-,0,0,1,0,0,1,0
#2 A.B. / #3 E.K. / #11 E.E. / #12 D.B. / #22 R.F.,0,0.0%,0.0%,0.0%,0.0%,0,0,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,2,0,0,- 2.0,1,0,0,0,0,0,0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,2,0,0,0,0
#2 A.B. / #3 E.K. / #12 D.B. / #22 R.F. / #30 C.S.,0,27.8%,10.0%,33.3%,100.0%,0,0.6,0,2,9,22.2%,27.8%,0,1,4,25.0%,0,1,5,20.0%,0,0,0,-,0,5,4,0.63,5,+ 1.0,4,0,0,5,0,2,0,2,33.3%,1,100.0%,3,0,1,1,1,10.0%,0,2,0.0%,0,0,-,0,0,2,1,0,2,0
#2 A.B. / #3 E.K. / #12 D.B. / #22 R.F. / #31 N.C.,0,150.0%,50.0%,-,-,0,2.5,0,1,1,100.0%,150.0%,0,0,0,-,0,1,1,100.0%,0,0,0,-,0,3,1,1.5,3,+ 2.0,1,0,0,0,0,0,0,0,-,0,-,0,0,1,1,1,50.0%,0,0,-,0,0,-,0,0,1,0,0,0,0
#2 A.B. / #3 E.K. / #12 D.B. / #30 C.S. / #31 N.C.,0,-,0.0%,-,-,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,1,100.0%,0,1,0,2.11,1,+ 1.0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
