MC @ Palomar College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #2 A.B. / #3 E.K. / #5 T.S. / #14 J.Z.,0,75.0%,44.7%,0.0%,44.4%,0.5,1.67,0,3,4,75.0%,75.0%,0,3,3,100.0%,0,0,1,0.0%,0,2,2,100.0%,0,8,4,0.89,8,+ 4.0,5,0,2,2,0,6,0,0,0.0%,4,44.4%,4,0,1,4,0.25,44.7%,0,1,0.0%,0,0,-,0,0,2,1,2,1,0
#1 J.C. / #2 A.B. / #3 E.K. / #5 T.S. / #30 C.S.,0,55.0%,8.7%,16.7%,50.0%,0.1,1.14,0,4,10,40.0%,55.0%,0,1,4,25.0%,0,3,6,50.0%,0,1,1,100.0%,0,12,17,1.15,12,- 5.0,7,0,0,0,3,2,0,1,16.7%,4,50.0%,5,0,3,1,3,8.7%,0,0,-,0,1,100.0%,3,0,2,0,1,4,0
#1 J.C. / #2 A.B. / #3 E.K. / #10 Z.B. / #12 D.B.,0,40.0%,0.0%,0.0%,40.0%,0.2,1.83,0,2,5,40.0%,40.0%,0,2,3,66.7%,0,0,2,0.0%,0,1,1,100.0%,0,5,5,0.91,5,0,4,0,0,0,0,2,0,0,0.0%,2,40.0%,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,2,2,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #12 D.B. / #24 A.G.,0,100.0%,25.0%,0.0%,50.0%,0,2.25,0,2,3,66.7%,100.0%,0,0,0,-,0,2,3,66.7%,0,0,0,-,0,6,4,1.5,6,+ 2.0,2,0,3,0,0,0,0,0,0.0%,1,50.0%,1,0,1,1,1,25.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #4 M.S. / #20 J.F. / #24 A.G.,0,31.3%,20.0%,16.7%,40.0%,0,0.5,0,2,8,25.0%,31.3%,0,1,6,16.7%,0,1,2,50.0%,0,0,0,-,0,5,10,0.56,5,- 5.0,5,0,3,0,2,2,0,1,16.7%,2,40.0%,3,0,1,2,0.5,20.0%,0,0,-,0,1,100.0%,2,0,1,1,0,4,0
#1 J.C. / #3 E.K. / #5 T.S. / #11 E.E. / #31 N.C.,0,150.0%,66.7%,-,100.0%,0,0.33,0,1,1,100.0%,150.0%,0,0,0,-,0,1,1,100.0%,0,0,0,-,0,3,3,1,3,0,1,0,0,0,0,0,0,0,-,1,100.0%,1,0,0,2,0,66.7%,0,1,0.0%,0,0,-,0,0,0,0,0,4,0
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #24 A.G.,0,0.0%,50.0%,100.0%,100.0%,0,0.5,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,1,0,0,0,0,0,0,1,100.0%,1,100.0%,2,0,0,1,0,50.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #5 T.S. / #11 E.E. / #22 R.F. / #31 N.C.,0,0.0%,33.9%,-,100.0%,2,1,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,2,2,100.0%,0,2,2,0.68,2,0,1,0,0,0,0,0,0,0,-,2,100.0%,2,0,0,1,0,33.9%,0,0,-,0,0,-,0,0,1,0,0,0,0
#1 J.C. / #5 T.S. / #22 R.F. / #24 A.G. / #31 N.C.,0,100.0%,0.0%,-,100.0%,0,5,0,2,2,100.0%,100.0%,0,2,2,100.0%,0,0,0,-,0,0,0,-,0,4,1,2,4,+ 3.0,1,0,2,0,0,4,0,0,-,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,0,0
#2 A.B. / #3 E.K. / #5 T.S. / #11 E.E. / #30 C.S.,0,0.0%,50.0%,0.0%,-,0,0,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,4,0,0,- 4.0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,1,0,50.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#2 A.B. / #3 E.K. / #5 T.S. / #12 D.B. / #22 R.F.,0,0.0%,50.0%,0.0%,100.0%,0,0.1,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,2,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,1,0,50.0%,0,0,-,0,0,-,0,0,2,0,0,3,0
#2 A.B. / #3 E.K. / #5 T.S. / #12 D.B. / #24 A.G.,0,0.0%,0.0%,0.0%,-,0,0,0,0,2,0.0%,0.0%,0,0,0,-,0,0,2,0.0%,0,0,0,-,0,0,5,0,0,- 5.0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#2 A.B. / #3 E.K. / #5 T.S. / #22 R.F. / #30 C.S.,0,62.5%,12.7%,50.0%,50.0%,1.5,2,0,2,4,50.0%,62.5%,0,1,3,33.3%,0,1,1,100.0%,0,5,6,83.3%,0,10,5,1.46,10,+ 5.0,3,0,0,2,0,2,0,1,50.0%,1,50.0%,2,0,2,1,2,12.7%,0,3,0.0%,0,2,0.0%,0,0,2,1,0,1,0
