MC @ Saddleback College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #24 A.G.,0,50.0%,33.3%,100.0%,100.0%,0,1.5,0,1,2,50.0%,50.0%,0,1,2,50.0%,0,0,0,-,0,0,0,-,0,2,3,1,2,- 1.0,1,0,0,0,0,0,0,1,100.0%,2,100.0%,3,0,1,1,1,33.3%,0,0,-,0,0,-,0,0,0,0,1,1,0
#1 J.C. / #2 A.B. / #3 E.K. / #5 T.S. / #12 D.B.,0,40.0%,15.4%,0.0%,62.5%,0.2,0.65,0,3,10,30.0%,40.0%,0,1,4,25.0%,0,2,6,33.3%,0,1,2,50.0%,0,9,14,0.69,9,- 5.0,8,0,0,0,0,2,0,0,0.0%,5,62.5%,5,0,3,2,1.5,15.4%,0,0,-,0,2,0.0%,0,0,0,0,0,6,0
#1 J.C. / #2 A.B. / #3 E.K. / #5 T.S. / #21 J.J.,0,-,0.0%,-,-,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,2,2,100.0%,0,2,0,2.11,2,+ 2.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #2 A.B. / #3 E.K. / #12 D.B. / #22 R.F.,0,0.0%,0.0%,33.3%,100.0%,0,0.2,0,0,4,0.0%,0.0%,0,0,1,0.0%,0,0,3,0.0%,0,0,0,-,0,0,6,0,0,- 6.0,2,0,0,0,0,0,0,1,33.3%,1,100.0%,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #2 A.B. / #3 E.K. / #20 J.F. / #21 J.J.,0,0.0%,0.0%,33.3%,100.0%,0.67,0.67,0,0,3,0.0%,0.0%,0,0,2,0.0%,0,0,1,0.0%,0,2,2,100.0%,0,2,3,0.68,2,- 1.0,2,0,0,0,0,0,0,1,33.3%,1,100.0%,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #20 J.F. / #22 R.F.,0,75.0%,0.0%,100.0%,100.0%,1.5,1.8,0,1,2,50.0%,75.0%,0,0,0,-,0,1,2,50.0%,0,2,3,66.7%,0,5,2,2.06,5,+ 3.0,1,0,0,0,2,0,0,1,100.0%,1,100.0%,2,0,1,0,0,0.0%,0,0,-,0,1,100.0%,3,0,0,0,0,1,0
#1 J.C. / #2 A.B. / #3 E.K. / #20 J.F. / #24 A.G.,0,0.0%,33.3%,50.0%,100.0%,0,0.33,0,0,2,0.0%,0.0%,0,0,0,-,0,0,2,0.0%,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,1,50.0%,1,100.0%,2,0,0,1,0,33.3%,0,0,-,0,1,0.0%,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #4 M.S. / #20 J.F. / #24 A.G.,0,-,0.0%,-,-,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,1,100.0%,0,1,0,2.11,1,+ 1.0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #24 A.G.,0,0.0%,0.0%,50.0%,100.0%,0,0.33,0,0,3,0.0%,0.0%,0,0,1,0.0%,0,0,2,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,1,0,0,0,0,0,0,1,50.0%,1,100.0%,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #21 J.J. / #22 R.F. / #31 N.C.,0,20.0%,0.0%,25.0%,-,0,0.42,0,1,5,20.0%,20.0%,0,1,1,100.0%,0,0,4,0.0%,0,0,0,-,0,2,7,0.5,2,- 5.0,3,0,0,0,2,2,0,1,25.0%,0,-,1,0,0,0,0,0.0%,0,1,0.0%,0,0,-,0,0,1,1,0,2,0
#2 A.B. / #3 E.K. / #4 M.S. / #11 E.E. / #24 A.G.,0,-,0.0%,-,-,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,2,50.0%,0,1,0,1.05,1,+ 1.0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#2 A.B. / #3 E.K. / #5 T.S. / #21 J.J. / #30 C.S.,0,81.3%,20.0%,33.3%,42.9%,0,1.56,0,5,8,62.5%,81.3%,0,2,5,40.0%,0,3,3,100.0%,0,0,0,-,0,13,8,1.44,13,+ 5.0,5,0,2,2,6,2,0,1,33.3%,3,42.9%,4,0,3,2,1.5,20.0%,0,0,-,0,1,0.0%,0,0,1,1,0,3,0
#2 A.B. / #3 E.K. / #10 Z.B. / #24 A.G. / #31 N.C.,0,33.3%,0.0%,0.0%,100.0%,0,0.83,0,1,3,33.3%,33.3%,0,1,3,33.3%,0,0,0,-,0,0,0,-,0,2,1,0.67,2,+ 1.0,2,0,0,0,0,2,0,0,0.0%,1,100.0%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#2 A.B. / #3 E.K. / #20 J.F. / #21 J.J. / #22 R.F.,0,0.0%,0.0%,0.0%,100.0%,0,0.5,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#2 A.B. / #3 E.K. / #20 J.F. / #21 J.J. / #30 C.S.,0,0.0%,50.0%,0.0%,100.0%,0,0.5,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,1,0,0,- 1.0,2,0,0,0,0,0,0,0,0.0%,2,100.0%,2,0,0,1,0,50.0%,0,0,-,0,1,100.0%,3,0,2,0,0,0,0
#2 A.B. / #3 E.K. / #20 J.F. / #22 R.F. / #31 N.C.,0,-,-,-,0.0%,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,2,0,0,- 2.0,0,0,0,0,0,0,0,0,-,0,0.0%,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#2 A.B. / #3 E.K. / #21 J.J. / #30 C.S. / #31 N.C.,0,83.3%,0.0%,0.0%,50.0%,0,4,0,2,3,66.7%,83.3%,0,1,2,50.0%,0,1,1,100.0%,0,0,0,-,0,5,3,1.67,5,+ 2.0,2,0,0,0,0,2,0,0,0.0%,1,50.0%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#2 A.B. / #10 Z.B. / #11 E.E. / #24 A.G. / #31 N.C.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,0,0,- 1.0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#3 E.K. / #4 M.S. / #11 E.E. / #22 R.F. / #24 A.G.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,0,0,- 1.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0
#3 E.K. / #4 M.S. / #20 J.F. / #22 R.F. / #24 A.G.,0,50.0%,0.0%,0.0%,100.0%,0,2.5,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,0,0,-,0,2,0,1,2,+ 2.0,1,0,2,2,0,2,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,1,0,0,0
#3 E.K. / #4 M.S. / #20 J.F. / #24 A.G. / #31 N.C.,0,0.0%,0.0%,0.0%,-,0,0,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,1,0.0%,0,0,0,0,0,0,0
