MC @ Grossmont College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #2 A.B. / #3 E.K. / #5 T.S. / #14 J.Z.,0,50.0%,0.0%,100.0%,-,0,1.5,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,0,0,-,0,2,0,2,2,+ 2.0,0,0,0,0,2,2,0,1,100.0%,0,-,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #5 T.S. / #30 C.S.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,-,0,0,2,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #5 T.S. / #31 N.C.,0,0.0%,66.7%,100.0%,-,0,0.17,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,1,0,0,0,0,0,0,1,100.0%,0,-,1,0,0,2,0,66.7%,0,0,-,0,0,-,0,0,1,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #14 J.Z. / #21 J.J.,0,0.0%,28.8%,50.0%,100.0%,0.5,0.67,0,0,2,0.0%,0.0%,0,0,1,0.0%,0,0,1,0.0%,0,1,1,100.0%,0,1,3,0.4,1,- 2.0,1,0,0,0,0,0,0,1,50.0%,2,100.0%,3,0,0,1,0,28.8%,0,0,-,0,0,-,0,0,1,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #22 R.F. / #31 N.C.,0,0.0%,0.0%,33.3%,33.3%,0,0.33,0,0,3,0.0%,0.0%,0,0,2,0.0%,0,0,1,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,1,0,0,0,0,0,0,1,33.3%,1,33.3%,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #2 A.B. / #14 J.Z. / #20 J.F. / #21 J.J.,0,0.0%,0.0%,0.0%,-,0,0,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,0,0
#1 J.C. / #2 A.B. / #21 J.J. / #22 R.F. / #31 N.C.,0,62.5%,0.0%,50.0%,100.0%,0,2,0,2,4,50.0%,62.5%,0,1,1,100.0%,0,1,3,33.3%,0,0,0,-,0,5,4,1.67,5,+ 1.0,2,0,0,0,3,2,0,1,50.0%,2,100.0%,3,0,2,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,1,0
#1 J.C. / #3 E.K. / #4 M.S. / #5 T.S. / #30 C.S.,0,0.0%,25.3%,66.7%,100.0%,1,0.57,0,0,2,0.0%,0.0%,0,0,1,0.0%,0,0,1,0.0%,0,1,2,50.0%,0,1,1,0.51,1,0,1,0,0,0,0,0,0,2,66.7%,1,100.0%,3,0,0,1,0,25.3%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #4 M.S. / #14 J.Z. / #31 N.C.,0,100.0%,0.0%,-,-,0,4,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,0,2,2,+ 2.0,0,0,0,3,0,2,0,0,-,0,-,0,0,1,0,0,0.0%,0,0,-,0,1,100.0%,2,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #5 T.S. / #10 Z.B. / #22 R.F.,0,30.0%,16.7%,25.0%,100.0%,0,0.58,0,1,5,20.0%,30.0%,0,0,2,0.0%,0,1,3,33.3%,0,0,0,-,0,3,5,0.6,3,- 2.0,2,0,0,0,0,0,0,1,25.0%,1,100.0%,2,0,1,1,1,16.7%,0,0,-,0,0,-,0,0,2,0,0,1,0
