MC @ San Diego Miramar — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #5 T.S.,0,-,-,-,0.0%,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,2,0,0,- 2.0,1,0,0,0,0,0,0,0,-,0,0.0%,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #4 M.S. / #20 J.F. / #21 J.J.,0,50.0%,40.0%,50.0%,50.0%,0,1.38,0,1,3,33.3%,50.0%,0,0,0,-,0,1,3,33.3%,0,0,0,-,0,3,2,0.75,3,+ 1.0,1,0,0,0,3,0,0,1,50.0%,1,50.0%,2,0,1,2,0.5,40.0%,0,0,-,0,0,-,0,0,2,2,0,0,0
#1 J.C. / #3 E.K. / #5 T.S. / #14 J.Z. / #20 J.F.,0,44.4%,9.1%,33.3%,80.0%,0.22,1.5,0,3,9,33.3%,44.4%,0,1,3,33.3%,0,2,6,33.3%,0,2,2,100.0%,0,10,4,1.12,10,+ 6.0,5,0,0,4,5,2,0,2,33.3%,4,80.0%,6,0,3,1,3,9.1%,0,1,0.0%,0,1,0.0%,0,0,3,1,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #22 R.F.,0,87.5%,0.0%,-,100.0%,0,2.5,0,3,4,75.0%,87.5%,0,2,2,100.0%,0,1,2,50.0%,0,0,0,-,0,7,3,1.75,7,+ 4.0,2,0,0,3,0,4,0,0,-,1,100.0%,1,0,1,0,0,0.0%,0,1,100.0%,2,0,-,0,0,0,0,0,1,0
#1 J.C. / #4 M.S. / #11 E.E. / #20 J.F. / #21 J.J.,0,150.0%,0.0%,-,-,0,7,0,1,1,100.0%,150.0%,0,0,0,-,0,1,1,100.0%,0,0,0,-,0,3,2,3,3,+ 1.0,1,0,0,0,0,0,0,0,-,0,-,0,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,1
#1 J.C. / #4 M.S. / #15 P.K. / #22 R.F. / #31 N.C.,0,125.0%,0.0%,-,50.0%,1,3.67,0,2,2,100.0%,125.0%,0,1,1,100.0%,0,1,1,100.0%,0,1,2,50.0%,0,6,3,2.03,6,+ 3.0,1,0,2,0,0,0,0,0,-,1,50.0%,1,0,2,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #4 M.S. / #21 J.J. / #22 R.F. / #31 N.C.,0,0.0%,50.0%,0.0%,100.0%,0,0.75,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,1,0,0,- 1.0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,1,0,50.0%,0,0,-,0,0,-,0,0,0,0,1,0,0
#1 J.C. / #5 T.S. / #10 Z.B. / #11 E.E. / #14 J.Z.,0,50.0%,33.3%,0.0%,100.0%,0,0.75,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,0,0,-,0,2,2,0.67,2,0,1,0,2,3,0,2,0,0,0.0%,1,100.0%,1,0,0,1,0,33.3%,0,0,-,0,1,0.0%,0,0,0,0,0,0,0
#1 J.C. / #5 T.S. / #11 E.E. / #14 J.Z. / #21 J.J.,0,-,-,-,100.0%,0,3,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,100.0%,1,0,0,0,0,-,0,0,-,0,0,-,0,0,1,0,1,0,0
#1 J.C. / #5 T.S. / #11 E.E. / #20 J.F. / #21 J.J.,0,-,100.0%,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,2,0,0,- 2.0,1,0,0,0,0,0,0,0,-,0,-,0,0,0,2,0,100.0%,0,0,-,0,0,-,0,0,0,0,0,2,0
