MC @ MiraCosta College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #4 M.S. / #14 J.Z. / #15 P.K.,0,-,-,-,0.0%,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0.0%,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #4 M.S. / #15 P.K. / #31 N.C.,0,-,100.0%,-,0.0%,0,0.5,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,0,0.0%,0,0,0,1,0,100.0%,0,0,-,0,0,-,0,0,1,1,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #14 J.Z. / #20 J.F.,0,50.0%,20.1%,40.0%,85.7%,0.13,0.87,0,6,15,40.0%,50.0%,0,3,7,42.9%,0,3,8,37.5%,0,1,2,50.0%,0,16,13,1,16,+ 3.0,10,0,0,2,3,6,0,4,40.0%,6,85.7%,10,0,3,4,0.75,20.1%,0,1,0.0%,0,1,100.0%,1,0,3,1,0,6,0
#1 J.C. / #3 E.K. / #5 T.S. / #15 P.K. / #20 J.F.,0,0.0%,20.0%,50.0%,100.0%,0,0.4,0,0,4,0.0%,0.0%,0,0,1,0.0%,0,0,3,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,2,0,0,0,0,0,0,2,50.0%,2,100.0%,4,0,0,1,0,20.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #31 N.C.,0,33.3%,0.0%,0.0%,50.0%,0,0.83,0,1,3,33.3%,33.3%,0,1,1,100.0%,0,0,2,0.0%,0,0,0,-,0,2,5,0.67,2,- 3.0,2,0,0,0,0,2,0,0,0.0%,1,50.0%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #32 E.M.,0,-,-,-,33.3%,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,1,33.3%,1,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #10 Z.B. / #15 P.K. / #21 J.J.,0,0.0%,0.0%,0.0%,-,0,0,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #15 P.K. / #20 J.F. / #31 N.C.,0,100.0%,0.0%,-,100.0%,0,4,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,1,2,2,+ 1.0,0,0,0,0,0,2,0,0,-,2,100.0%,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #20 J.F. / #22 R.F. / #31 N.C.,0,50.0%,14.3%,50.0%,100.0%,0,1.6,0,2,6,33.3%,50.0%,0,0,2,0.0%,0,2,4,50.0%,0,0,0,-,0,6,3,1.2,6,+ 3.0,3,0,0,0,3,0,0,2,50.0%,2,100.0%,4,0,2,1,2,14.3%,0,0,-,0,1,0.0%,0,0,1,1,0,0,0
#1 J.C. / #5 T.S. / #20 J.F. / #22 R.F. / #31 N.C.,0,50.0%,7.7%,25.0%,71.4%,0,1.45,0,4,12,33.3%,50.0%,0,0,4,0.0%,0,4,8,50.0%,0,0,0,-,0,12,3,1.09,12,+ 9.0,6,0,3,3,3,0,0,2,25.0%,5,71.4%,7,0,4,1,4,7.7%,0,1,0.0%,0,2,50.0%,1.5,0,2,1,0,1,0
