MC vs Fresno City College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #2 A.B. / #3 E.K. / #10 Z.B. / #22 R.F.,0,50.0%,0.0%,0.0%,50.0%,1,1.17,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,2,2,100.0%,0,4,5,1.36,4,- 1.0,1,0,0,0,0,2,0,0,0.0%,1,50.0%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,2,0
#1 J.C. / #2 A.B. / #3 E.K. / #14 J.Z. / #22 R.F.,0,75.0%,0.0%,0.0%,100.0%,0,1.5,0,1,2,50.0%,75.0%,0,0,0,-,0,1,2,50.0%,0,0,0,-,0,3,0,1.5,3,+ 3.0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,1,0
#1 J.C. / #2 A.B. / #3 E.K. / #20 J.F. / #30 C.S.,0,125.0%,0.0%,-,100.0%,0,10,0,2,2,100.0%,125.0%,0,1,1,100.0%,0,1,1,100.0%,0,0,0,-,0,5,2,2.5,5,+ 3.0,1,0,0,0,0,2,0,0,-,1,100.0%,1,0,2,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #30 C.S. / #31 N.C.,0,75.0%,0.0%,100.0%,-,0,3,0,1,2,50.0%,75.0%,0,0,0,-,0,1,2,50.0%,0,0,0,-,0,3,2,3,3,+ 1.0,1,0,0,0,3,0,0,1,100.0%,0,-,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,0,0
#1 J.C. / #2 A.B. / #14 J.Z. / #30 C.S. / #31 N.C.,0,0.0%,0.0%,0.0%,100.0%,0,0.75,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,1,1,0
#1 J.C. / #3 E.K. / #4 M.S. / #5 T.S. / #14 J.Z.,0,-,0.0%,-,100.0%,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,1,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,0,0
#1 J.C. / #3 E.K. / #4 M.S. / #5 T.S. / #20 J.F.,0,100.0%,0.0%,100.0%,100.0%,3,6,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,2,3,66.7%,0,4,1,2.81,4,+ 3.0,0,0,0,0,2,2,0,1,100.0%,1,100.0%,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #4 M.S. / #14 J.Z. / #22 R.F.,0,50.0%,29.2%,0.0%,100.0%,3,1.89,0,1,2,50.0%,50.0%,0,1,2,50.0%,0,0,0,-,0,5,6,83.3%,0,7,4,1.02,7,+ 3.0,2,0,0,0,0,2,0,0,0.0%,4,100.0%,4,0,1,2,0.5,29.2%,0,0,-,0,0,-,0,0,1,0,1,1,1
#1 J.C. / #3 E.K. / #4 M.S. / #20 J.F. / #22 R.F.,0,0.0%,0.0%,-,-,0,0,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #4 M.S. / #20 J.F. / #31 N.C.,0,-,67.8%,-,-,0,0.5,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,1,100.0%,0,1,2,0.68,1,- 1.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,1,0,67.8%,0,0,-,0,0,-,0,0,0,0,0,0,0
