MC @ Hartnell College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #5 T.S. / #14 J.Z. / #20 J.F.,0,54.5%,14.3%,40.0%,100.0%,0.18,1.55,0,6,11,54.5%,54.5%,0,6,8,75.0%,0,0,3,0.0%,0,0,2,0.0%,0,12,4,1,12,+ 8.0,5,0,4,4,0,12,0,2,40.0%,4,100.0%,6,0,5,2,2.5,14.3%,0,1,0.0%,0,3,0.0%,0,0,2,3,0,3,0
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #31 N.C.,0,58.3%,0.0%,33.3%,100.0%,0,3.33,0,3,6,50.0%,58.3%,0,2,2,100.0%,0,1,4,25.0%,0,0,0,-,0,7,0,1.4,7,+ 7.0,2,0,4,2,0,4,0,1,33.3%,4,100.0%,5,0,3,0,0,0.0%,0,0,-,0,0,-,0,0,1,1,0,0,0
#1 J.C. / #3 E.K. / #14 J.Z. / #20 J.F. / #22 R.F.,0,65.6%,11.1%,28.6%,100.0%,0,2.21,0,9,16,56.3%,65.6%,0,6,7,85.7%,0,3,9,33.3%,0,0,0,-,0,21,13,1.31,21,+ 8.0,9,0,6,8,2,12,0,2,28.6%,4,100.0%,6,0,8,2,4,11.1%,0,2,0.0%,0,0,-,0,0,2,5,0,3,0
#1 J.C. / #5 T.S. / #14 J.Z. / #20 J.F. / #31 N.C.,0,71.4%,12.5%,100.0%,100.0%,0,2.3,0,4,7,57.1%,71.4%,0,2,3,66.7%,0,2,4,50.0%,0,0,0,-,0,10,3,1.67,10,+ 7.0,3,0,3,3,2,4,0,2,100.0%,3,100.0%,5,0,3,1,3,12.5%,0,1,0.0%,0,1,100.0%,2,0,0,1,0,1,0
#2 A.B. / #4 M.S. / #5 T.S. / #11 E.E. / #31 N.C.,0,25.0%,0.0%,37.5%,100.0%,0.38,0.93,0,2,8,25.0%,25.0%,0,2,5,40.0%,0,0,3,0.0%,0,1,3,33.3%,0,5,7,0.78,5,- 2.0,3,0,0,0,2,4,0,3,37.5%,3,100.0%,6,0,1,0,0,0.0%,0,0,-,0,1,0.0%,0,0,1,0,0,0,0
#2 A.B. / #4 M.S. / #10 Z.B. / #11 E.E. / #31 N.C.,0,50.0%,0.0%,0.0%,-,0,2,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,0,0,-,0,2,3,1,2,- 1.0,1,0,0,0,0,2,0,0,0.0%,0,-,0,0,1,0,0,0.0%,0,0,-,0,1,100.0%,2,0,0,0,0,0,0
#2 A.B. / #4 M.S. / #11 E.E. / #15 P.K. / #31 N.C.,0,31.3%,0.0%,60.0%,100.0%,0,0.79,0,2,8,25.0%,31.3%,0,1,5,20.0%,0,1,3,33.3%,0,0,0,-,0,5,5,1,5,0,3,0,0,2,2,2,0,3,60.0%,1,100.0%,4,0,1,0,0,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,1,0
#2 A.B. / #5 T.S. / #11 E.E. / #12 D.B. / #31 N.C.,0,50.0%,0.0%,0.0%,-,1,3,0,1,2,50.0%,50.0%,0,1,2,50.0%,0,0,0,-,0,1,2,50.0%,0,3,0,1.02,3,+ 3.0,1,0,2,2,0,2,0,0,0.0%,0,-,0,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,2,0,0,0
#2 A.B. / #5 T.S. / #12 D.B. / #15 P.K. / #31 N.C.,0,-,0.0%,-,-,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,1,100.0%,0,1,2,2.11,1,- 1.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#2 A.B. / #5 T.S. / #14 J.Z. / #20 J.F. / #31 N.C.,0,60.0%,0.0%,33.3%,0.0%,0,0.9,0,2,5,40.0%,60.0%,0,0,0,-,0,2,5,40.0%,0,0,0,-,0,6,8,1.5,6,- 2.0,2,0,0,0,0,0,0,1,33.3%,0,0.0%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,2,0
