MC @ WVC — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #5 T.S.,0,0.0%,0.0%,0.0%,-,2,0.2,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,1,2,50.0%,0,1,2,0.51,1,- 1.0,2,0,0,2,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #12 D.B.,0,-,0.0%,-,-,0,3,0,0,0,-,-,0,0,0,-,0,0,0,-,0,3,3,100.0%,0,3,0,2.11,3,+ 3.0,0,0,0,3,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #14 J.Z.,0,-,-,-,0.0%,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0.0%,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #20 J.F.,0,0.0%,0.0%,0.0%,0.0%,2,1,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,2,2,100.0%,0,2,3,1.03,2,- 1.0,1,0,0,0,0,0,0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #22 R.F.,0,0.0%,0.0%,0.0%,0.0%,0,0,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,4,0,0,- 4.0,1,0,0,0,0,0,0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #31 N.C.,0,25.0%,15.6%,0.0%,0.0%,0.75,0.44,0,1,4,25.0%,25.0%,0,1,2,50.0%,0,0,2,0.0%,0,3,3,100.0%,0,5,9,0.78,5,- 4.0,3,0,0,0,0,0,0,0,0.0%,0,0.0%,0,0,1,1,1,15.6%,0,0,-,0,2,50.0%,1,0,1,0,0,4,0
#1 J.C. / #2 A.B. / #3 E.K. / #5 T.S. / #22 R.F.,0,100.0%,0.0%,-,0.0%,0,4,0,2,2,100.0%,100.0%,0,2,2,100.0%,0,0,0,-,0,0,0,-,0,4,2,2,4,+ 2.0,1,0,0,0,0,4,0,0,-,0,0.0%,0,0,0,0,0,0.0%,0,1,100.0%,2,0,-,0,0,0,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #5 T.S. / #31 N.C.,0,0.0%,0.0%,0.0%,-,0,0,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,3,0,0,- 3.0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #2 A.B. / #3 E.K. / #12 D.B. / #20 J.F.,0,0.0%,40.4%,33.3%,66.7%,1,0.44,0,0,2,0.0%,0.0%,0,0,2,0.0%,0,0,0,-,0,1,2,50.0%,0,1,5,0.25,1,- 4.0,2,0,0,0,1,0,0,1,33.3%,2,66.7%,3,0,0,2,0,40.4%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #2 A.B. / #3 E.K. / #12 D.B. / #22 R.F.,0,33.3%,0.0%,0.0%,50.0%,0.33,0.56,0,1,3,33.3%,33.3%,0,1,3,33.3%,0,0,0,-,0,0,1,0.0%,0,2,5,0.58,2,- 3.0,2,0,0,0,0,2,0,0,0.0%,1,50.0%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,2,0
