MC vs — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #4 M.S. / #5 T.S. / #12 D.B.,0,-,0.0%,-,-,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,1,100.0%,0,1,0,2.11,1,+ 1.0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #4 M.S. / #5 T.S. / #14 J.Z.,0,-,0.0%,-,-,0,0.5,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,1,100.0%,0,1,0,2.11,1,+ 1.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #4 M.S. / #5 T.S. / #22 R.F.,0,100.0%,40.4%,-,50.0%,1,1.5,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,1,1,100.0%,0,3,4,1.21,3,- 1.0,2,0,0,0,0,2,0,0,-,1,50.0%,1,0,0,1,0,40.4%,0,0,-,0,0,-,0,0,1,0,1,1,0
#1 J.C. / #3 E.K. / #4 M.S. / #5 T.S. / #31 N.C.,0,100.0%,0.0%,-,-,0,4,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,0,2,2,+ 2.0,0,0,0,0,0,0,0,0,-,0,-,0,0,1,0,0,0.0%,0,0,-,0,1,100.0%,2,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #4 M.S. / #5 T.S. / #33 T.H.,0,0.0%,0.0%,0.0%,0.0%,0,0,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #4 M.S. / #12 D.B. / #20 J.F.,0,0.0%,0.0%,33.3%,-,0,0.17,0,0,3,0.0%,0.0%,0,0,3,0.0%,0,0,0,-,0,0,0,-,0,0,2,0,0,- 2.0,1,0,0,0,0,0,0,1,33.3%,0,-,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #4 M.S. / #14 J.Z. / #20 J.F.,0,62.5%,37.7%,100.0%,20.0%,0.5,0.93,0,2,4,50.0%,62.5%,0,1,1,100.0%,0,1,3,33.3%,0,2,2,100.0%,0,7,5,1.01,7,+ 2.0,3,0,0,2,6,2,0,1,100.0%,1,20.0%,2,0,1,3,0.33,37.7%,0,1,100.0%,2,1,0.0%,0,0,1,1,0,2,0
#1 J.C. / #3 E.K. / #12 D.B. / #14 J.Z. / #20 J.F.,0,83.3%,0.0%,0.0%,-,0,4.5,0,2,3,66.7%,83.3%,0,1,2,50.0%,0,1,1,100.0%,0,0,0,-,0,5,4,1.67,5,+ 1.0,2,0,0,2,0,2,0,0,0.0%,0,-,0,0,2,0,0,0.0%,0,0,-,0,1,100.0%,3,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #12 D.B. / #14 J.Z. / #31 N.C.,0,0.0%,0.0%,33.3%,100.0%,0.33,0.33,0,0,3,0.0%,0.0%,0,0,2,0.0%,0,0,1,0.0%,0,0,1,0.0%,0,0,1,0,0,- 1.0,2,0,0,0,0,0,0,1,33.3%,2,100.0%,3,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #22 R.F.,0,0.0%,25.0%,66.7%,100.0%,0,0.63,0,0,3,0.0%,0.0%,0,0,1,0.0%,0,0,2,0.0%,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,2,66.7%,1,100.0%,3,0,0,1,0,25.0%,0,0,-,0,0,-,0,0,1,0,1,0,0
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #31 N.C.,0,0.0%,0.0%,50.0%,-,2,0.8,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,1,2,50.0%,0,1,0,1.05,1,+ 1.0,0,0,0,1,1,0,0,1,50.0%,0,-,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,1,0,1,0
#1 J.C. / #3 E.K. / #12 D.B. / #22 R.F. / #31 N.C.,0,-,67.8%,0.0%,-,0,1.4,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,2,50.0%,0,1,0,0.34,1,+ 1.0,1,0,0,1,0,0,0,0,0.0%,0,-,0,0,0,2,0,67.8%,0,0,-,0,1,0.0%,0,0,2,3,0,0,0
#1 J.C. / #3 E.K. / #12 D.B. / #22 R.F. / #33 T.H.,0,100.0%,66.7%,-,100.0%,0,0.83,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,5,0.67,2,- 3.0,2,0,0,0,0,2,0,0,-,1,100.0%,1,0,0,2,0,66.7%,0,0,-,0,0,-,0,0,1,1,0,1,0
#1 J.C. / #3 E.K. / #14 J.Z. / #20 J.F. / #21 J.J.,0,0.0%,0.0%,75.0%,100.0%,0.25,0.75,0,0,4,0.0%,0.0%,0,0,4,0.0%,0,0,0,-,0,1,1,100.0%,0,1,0,0.68,1,+ 1.0,1,0,0,0,0,0,0,3,75.0%,2,100.0%,5,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #14 J.Z. / #20 J.F. / #31 N.C.,0,88.5%,7.1%,50.0%,80.0%,0,3.58,0,9,13,69.2%,88.5%,0,4,7,57.1%,0,5,6,83.3%,0,0,0,-,0,23,15,1.92,23,+ 8.0,7,0,5,2,2,8,0,2,50.0%,4,80.0%,6,0,7,1,7,7.1%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #14 J.Z. / #21 J.J. / #33 T.H.,0,0.0%,0.0%,0.0%,0.0%,1,0,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,1,0.0%,0,0,5,0,0,- 5.0,1,0,0,0,0,0,0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
