MC @ Ventura College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #5 T.S. / #10 Z.B. / #12 D.B.,0,0.0%,0.0%,0.0%,-,0,0,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #10 Z.B. / #12 D.B. / #22 R.F.,0,83.3%,0.0%,0.0%,-,0.33,1.5,0,2,3,66.7%,83.3%,0,1,2,50.0%,0,1,1,100.0%,0,1,1,100.0%,0,6,3,1.73,6,+ 3.0,1,0,0,0,0,2,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #10 Z.B. / #14 J.Z. / #22 R.F.,0,66.7%,0.0%,100.0%,0.0%,0,2.75,0,2,3,66.7%,66.7%,0,2,2,100.0%,0,0,1,0.0%,0,0,0,-,0,4,3,2,4,+ 1.0,1,0,2,2,2,4,0,1,100.0%,0,0.0%,1,0,2,0,0,0.0%,0,0,-,0,0,-,0,0,1,1,0,1,0
#1 J.C. / #3 E.K. / #12 D.B. / #14 J.Z. / #20 J.F.,0,112.5%,33.3%,-,60.0%,0,4.5,0,4,4,100.0%,112.5%,0,3,3,100.0%,0,1,1,100.0%,0,0,0,-,0,9,4,1.5,9,+ 5.0,4,0,3,0,0,6,0,0,-,3,60.0%,3,0,1,2,0.5,33.3%,0,1,100.0%,2,1,100.0%,2,0,1,0,2,0,0
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #31 N.C.,0,35.0%,22.3%,12.5%,100.0%,0.1,0.6,0,3,10,30.0%,35.0%,0,2,6,33.3%,0,1,4,25.0%,0,0,1,0.0%,0,7,16,0.56,7,- 9.0,6,0,0,0,0,4,0,1,12.5%,3,100.0%,4,0,1,3,0.33,22.3%,0,0,-,0,2,0.0%,0,0,0,1,0,2,0
#1 J.C. / #3 E.K. / #14 J.Z. / #20 J.F. / #31 N.C.,0,60.7%,6.7%,12.5%,66.7%,0,1.64,0,6,14,42.9%,60.7%,0,1,7,14.3%,0,5,7,71.4%,0,0,0,-,0,17,18,1.21,17,- 1.0,9,0,0,0,3,2,0,1,12.5%,4,66.7%,5,0,6,1,6,6.7%,0,1,100.0%,3,1,100.0%,3,0,2,1,0,2,0
#1 J.C. / #5 T.S. / #11 E.E. / #12 D.B. / #20 J.F.,0,0.0%,0.0%,0.0%,-,1,0.25,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,1,1,100.0%,0,1,0,0.68,1,+ 1.0,1,0,0,2,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #5 T.S. / #11 E.E. / #12 D.B. / #22 R.F.,0,-,0.0%,-,-,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,1,100.0%,0,1,0,2.11,1,+ 1.0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #5 T.S. / #12 D.B. / #20 J.F. / #22 R.F.,0,60.0%,16.7%,100.0%,50.0%,0,2.17,0,3,5,60.0%,60.0%,0,3,3,100.0%,0,0,2,0.0%,0,0,0,-,0,6,3,1.5,6,+ 3.0,2,0,0,2,4,6,0,2,100.0%,1,50.0%,3,0,1,1,1,16.7%,0,0,-,0,0,-,0,0,1,0,1,0,0
#1 J.C. / #5 T.S. / #12 D.B. / #22 R.F. / #31 N.C.,0,75.0%,50.0%,100.0%,0.0%,0,0.75,0,1,2,50.0%,75.0%,0,0,0,-,0,1,2,50.0%,0,0,0,-,0,3,6,1,3,- 3.0,2,0,0,0,3,0,0,1,100.0%,0,0.0%,1,0,1,2,0.5,50.0%,0,1,100.0%,3,1,100.0%,3,0,1,0,0,1,0
#1 J.C. / #11 E.E. / #12 D.B. / #20 J.F. / #22 R.F.,0,42.9%,10.6%,50.0%,0.0%,0.43,1.21,0,3,7,42.9%,42.9%,0,3,6,50.0%,0,0,1,0.0%,0,3,3,100.0%,0,9,8,1.21,9,+ 1.0,5,0,0,4,2,4,0,2,50.0%,0,0.0%,2,0,0,1,0,10.6%,0,1,200.0%,2,1,200.0%,2,0,0,1,1,2,1
#1 J.C. / #12 D.B. / #20 J.F. / #22 R.F. / #31 N.C.,0,16.7%,25.0%,20.0%,0.0%,0,0.44,0,1,6,16.7%,16.7%,0,1,5,20.0%,0,0,1,0.0%,0,0,0,-,0,2,7,0.29,2,- 5.0,4,0,0,2,0,2,0,1,20.0%,0,0.0%,1,0,0,2,0,25.0%,0,0,-,0,1,0.0%,0,0,1,2,0,1,0
#3 E.K. / #5 T.S. / #12 D.B. / #14 J.Z. / #20 J.F.,0,-,-,-,100.0%,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,100.0%,1,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#3 E.K. / #11 E.E. / #14 J.Z. / #22 R.F. / #31 N.C.,0,60.0%,0.0%,0.0%,-,0,2,0,2,5,40.0%,60.0%,0,0,1,0.0%,0,2,4,50.0%,0,0,0,-,0,6,8,1.2,6,- 2.0,3,0,0,3,0,0,0,0,0.0%,0,-,0,0,2,0,0,0.0%,0,0,-,0,1,0.0%,0,0,0,1,0,0,0
#3 E.K. / #12 D.B. / #14 J.Z. / #22 R.F. / #31 N.C.,0,-,0.0%,-,-,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,2,50.0%,0,1,0,1.05,1,+ 1.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#5 T.S. / #12 D.B. / #20 J.F. / #22 R.F. / #31 N.C.,0,0.0%,22.3%,33.3%,66.7%,0.33,0.5,0,0,3,0.0%,0.0%,0,0,1,0.0%,0,0,2,0.0%,0,1,1,100.0%,0,1,6,0.29,1,- 5.0,2,0,0,0,0,0,0,1,33.3%,2,66.7%,3,0,0,1,0,22.3%,0,0,-,0,0,-,0,0,0,0,0,0,0
#11 E.E. / #12 D.B. / #20 J.F. / #22 R.F. / #31 N.C.,0,100.0%,0.0%,-,-,1,3,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,1,1,100.0%,0,3,2,2.03,3,+ 1.0,0,0,0,0,0,2,0,0,-,0,-,0,0,0,0,0,0.0%,0,1,100.0%,2,0,-,0,0,0,0,0,0,0
