MC @ Cuesta College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #5 T.S. / #11 E.E. / #22 R.F.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,0,0,- 1.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #12 D.B. / #20 J.F.,0,100.0%,0.0%,-,-,0,2,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,0,2,2,+ 2.0,1,0,0,0,0,2,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,1,100.0%,2,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #5 T.S. / #12 D.B. / #31 N.C.,0,90.0%,0.0%,0.0%,100.0%,0.1,3.89,0,7,10,70.0%,90.0%,0,3,3,100.0%,0,4,7,57.1%,0,0,1,0.0%,0,18,2,1.72,18,+ 16.0,5,0,4,7,0,6,0,0,0.0%,5,100.0%,5,0,5,0,0,0.0%,0,0,-,0,1,0.0%,0,0,2,1,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #22 R.F.,0,29.2%,7.2%,33.3%,100.0%,0.17,0.73,0,3,12,25.0%,29.2%,0,2,7,28.6%,0,1,5,20.0%,0,2,2,100.0%,0,9,10,0.82,9,- 1.0,6,0,2,4,2,4,0,3,33.3%,2,100.0%,5,0,1,1,1,7.2%,0,2,100.0%,2.5,0,-,0,0,3,2,1,5,0
#1 J.C. / #3 E.K. / #5 T.S. / #22 R.F. / #31 N.C.,0,83.3%,0.0%,33.3%,-,0.17,1.89,0,4,6,66.7%,83.3%,0,2,2,100.0%,0,2,4,50.0%,0,0,1,0.0%,0,10,4,1.83,10,+ 6.0,2,0,0,5,2,4,0,1,33.3%,0,-,1,0,2,0,0,0.0%,0,0,-,0,0,-,0,0,2,1,0,2,0
#1 J.C. / #3 E.K. / #10 Z.B. / #11 E.E. / #12 D.B.,0,-,100.0%,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,1,0,100.0%,0,0,-,0,1,0.0%,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #10 Z.B. / #12 D.B. / #31 N.C.,0,20.0%,0.0%,33.3%,100.0%,0.4,0.9,0,1,5,20.0%,20.0%,0,1,3,33.3%,0,0,2,0.0%,0,2,2,100.0%,0,4,4,0.81,4,0,3,0,0,0,0,2,0,1,33.3%,2,100.0%,3,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,1,0,1,0
#1 J.C. / #5 T.S. / #11 E.E. / #22 R.F. / #31 N.C.,0,0.0%,50.0%,50.0%,-,0,0.25,0,0,2,0.0%,0.0%,0,0,0,-,0,0,2,0.0%,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,1,50.0%,0,-,1,0,0,2,0,50.0%,0,0,-,0,0,-,0,0,1,1,0,2,0
#1 J.C. / #5 T.S. / #22 R.F. / #30 C.S. / #31 N.C.,0,33.3%,0.0%,50.0%,100.0%,0,1,0,1,3,33.3%,33.3%,0,1,2,50.0%,0,0,1,0.0%,0,0,0,-,0,2,3,1,2,- 1.0,1,0,2,0,0,2,0,1,50.0%,1,100.0%,2,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #10 Z.B. / #12 D.B. / #15 P.K. / #31 N.C.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
