MC @ — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #5 T.S. / #14 J.Z. / #22 R.F.,0,116.7%,0.0%,-,-,0,11,0,3,3,100.0%,116.7%,0,2,2,100.0%,0,1,1,100.0%,0,0,0,-,0,7,5,2.33,7,+ 2.0,2,0,0,0,0,0,0,0,-,0,-,0,0,2,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #21 J.J.,0,33.3%,0.0%,50.0%,-,0,0.5,0,1,3,33.3%,33.3%,0,1,3,33.3%,0,0,0,-,0,0,0,-,0,2,1,1,2,+ 1.0,1,0,0,2,0,2,0,1,50.0%,0,-,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #22 R.F.,0,53.8%,11.8%,16.7%,71.4%,0.31,1.29,0,6,13,46.2%,53.8%,0,4,8,50.0%,0,2,5,40.0%,0,4,4,100.0%,0,18,15,1.13,18,+ 3.0,10,0,2,5,2,8,0,1,16.7%,5,71.4%,6,0,3,2,1.5,11.8%,0,3,66.7%,0.67,0,-,0,0,4,1,2,5,0
#1 J.C. / #3 E.K. / #14 J.Z. / #20 J.F. / #22 R.F.,0,65.0%,16.7%,25.0%,83.3%,0,1.69,0,6,10,60.0%,65.0%,0,5,7,71.4%,0,1,3,33.3%,0,0,0,-,0,13,5,1.18,13,+ 8.0,7,0,2,2,2,6,0,1,25.0%,5,83.3%,6,0,3,2,1.5,16.7%,0,0,-,0,0,-,0,0,1,1,0,2,0
#1 J.C. / #3 E.K. / #14 J.Z. / #22 R.F. / #31 N.C.,0,50.0%,33.3%,0.0%,66.7%,0,1,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,0,0,-,0,2,3,0.67,2,- 1.0,3,0,0,0,0,2,0,0,0.0%,2,66.7%,2,0,0,1,0,33.3%,0,0,-,0,1,100.0%,2,0,0,0,1,1,0
#1 J.C. / #5 T.S. / #12 D.B. / #22 R.F. / #31 N.C.,0,-,-,-,0.0%,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,2,0,0,- 2.0,0,0,0,0,0,0,0,0,-,0,0.0%,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #5 T.S. / #14 J.Z. / #22 R.F. / #31 N.C.,0,116.7%,0.0%,-,50.0%,0.67,3.4,0,3,3,100.0%,116.7%,0,2,2,100.0%,0,1,1,100.0%,0,1,2,50.0%,0,8,3,2.03,8,+ 5.0,3,0,0,5,0,4,0,0,-,1,50.0%,1,0,2,0,0,0.0%,0,1,100.0%,2,1,100.0%,2,0,1,1,1,2,0
#1 J.C. / #12 D.B. / #20 J.F. / #22 R.F. / #31 N.C.,0,0.0%,66.7%,0.0%,50.0%,0,0.17,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,3,0,0,- 3.0,1,0,0,0,0,0,0,0,0.0%,1,50.0%,1,0,0,2,0,66.7%,0,0,-,0,0,-,0,0,0,0,0,0,0
#3 E.K. / #5 T.S. / #12 D.B. / #14 J.Z. / #22 R.F.,0,20.0%,24.0%,60.0%,16.7%,1.9,0.54,0,2,10,20.0%,20.0%,0,2,7,28.6%,0,0,3,0.0%,0,11,19,57.9%,0,15,26,0.79,15,- 11.0,12,0,2,4,2,4,0,6,60.0%,1,16.7%,7,0,0,6,0,24.0%,0,2,50.0%,0.5,3,66.7%,0.67,0,1,2,0,6,0
#3 E.K. / #5 T.S. / #14 J.Z. / #20 J.F. / #22 R.F.,0,0.0%,0.0%,0.0%,-,0,0,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#3 E.K. / #5 T.S. / #14 J.Z. / #22 R.F. / #31 N.C.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0
#3 E.K. / #14 J.Z. / #20 J.F. / #22 R.F. / #31 N.C.,0,50.0%,0.0%,0.0%,-,0,1,0,1,2,50.0%,50.0%,0,1,2,50.0%,0,0,0,-,0,0,0,-,0,2,2,1,2,0,1,0,0,0,0,2,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
