MC vs Oxnard College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #11 E.E. / #30 C.S. / #31 N.C.,0,37.5%,20.0%,33.3%,66.7%,0,1.2,0,1,4,25.0%,37.5%,0,0,0,-,0,1,4,25.0%,0,0,0,-,0,3,1,0.75,3,+ 2.0,2,0,0,0,0,0,0,1,33.3%,2,66.7%,3,0,1,1,1,20.0%,0,0,-,0,0,-,0,0,1,1,1,1,0
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #22 R.F.,0,37.5%,16.8%,100.0%,40.0%,0.5,1.09,0,3,8,37.5%,37.5%,0,3,6,50.0%,0,0,2,0.0%,0,2,4,50.0%,0,8,6,1.01,8,+ 2.0,4,0,2,0,4,4,0,4,100.0%,2,40.0%,6,0,3,2,1.5,16.8%,0,0,-,0,0,-,0,0,3,1,1,3,0
#1 J.C. / #3 E.K. / #14 J.Z. / #20 J.F. / #22 R.F.,0,40.0%,7.8%,50.0%,100.0%,0.4,1.6,0,4,10,40.0%,40.0%,0,4,8,50.0%,0,0,2,0.0%,0,3,4,75.0%,0,11,4,1.11,11,+ 7.0,4,0,2,8,3,6,0,3,50.0%,2,100.0%,5,0,2,1,2,7.8%,0,1,100.0%,2,3,33.3%,0.67,0,2,1,1,0,0
#1 J.C. / #3 E.K. / #14 J.Z. / #22 R.F. / #31 N.C.,0,0.0%,0.0%,-,-,0,0,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,2,0
#1 J.C. / #3 E.K. / #15 P.K. / #20 J.F. / #31 N.C.,0,25.0%,16.8%,40.0%,100.0%,0.5,0.7,0,1,4,25.0%,25.0%,0,1,2,50.0%,0,0,2,0.0%,0,0,2,0.0%,0,2,0,0.51,2,+ 2.0,3,0,2,0,0,2,0,2,40.0%,3,100.0%,5,0,0,1,0,16.8%,0,0,-,0,1,0.0%,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #20 J.F. / #22 R.F. / #31 N.C.,0,40.0%,16.7%,28.6%,100.0%,0,1.09,0,3,10,30.0%,40.0%,0,1,3,33.3%,0,2,7,28.6%,0,0,0,-,0,8,5,0.8,8,+ 3.0,4,0,0,3,0,2,0,2,28.6%,4,100.0%,6,0,2,2,1,16.7%,0,2,0.0%,0,0,-,0,0,3,3,0,2,0
#1 J.C. / #3 E.K. / #22 R.F. / #30 C.S. / #31 N.C.,0,41.7%,14.3%,50.0%,50.0%,0,1.4,0,2,6,33.3%,41.7%,0,1,3,33.3%,0,1,3,33.3%,0,0,0,-,0,5,6,1,5,- 1.0,2,0,0,2,0,2,0,2,50.0%,1,50.0%,3,0,2,1,2,14.3%,0,0,-,0,1,0.0%,0,0,0,0,1,0,0
#1 J.C. / #5 T.S. / #22 R.F. / #30 C.S. / #31 N.C.,0,50.0%,25.0%,0.0%,50.0%,0,0.5,0,1,3,33.3%,50.0%,0,0,1,0.0%,0,1,2,50.0%,0,0,0,-,0,3,6,0.75,3,- 3.0,2,0,3,0,0,0,0,0,0.0%,1,50.0%,1,0,1,1,1,25.0%,0,0,-,0,0,-,0,0,0,0,0,3,0
#1 J.C. / #11 E.E. / #12 D.B. / #14 J.Z. / #33 T.H.,0,50.0%,28.8%,100.0%,50.0%,0.5,1.75,0,1,2,50.0%,50.0%,0,1,2,50.0%,0,0,0,-,0,1,1,100.0%,0,3,0,1.21,3,+ 3.0,1,0,0,2,2,2,0,1,100.0%,1,50.0%,2,0,0,1,0,28.8%,0,0,-,0,2,50.0%,1,0,1,1,0,0,0
#1 J.C. / #11 E.E. / #12 D.B. / #15 P.K. / #33 T.H.,0,-,-,-,100.0%,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,100.0%,1,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #12 D.B. / #20 J.F. / #21 J.J. / #22 R.F.,0,33.3%,0.0%,33.3%,100.0%,0,1.08,0,2,6,33.3%,33.3%,0,2,4,50.0%,0,0,2,0.0%,0,0,0,-,0,4,3,0.8,4,+ 1.0,2,0,0,2,2,2,0,1,33.3%,2,100.0%,3,0,1,0,0,0.0%,0,0,-,0,2,50.0%,1,0,0,1,1,2,0
