MC @ LAPC — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #5 T.S. / #10 Z.B. / #15 P.K.,0,66.7%,22.3%,100.0%,100.0%,0.33,2.75,0,2,3,66.7%,66.7%,0,2,2,100.0%,0,0,1,0.0%,0,1,1,100.0%,0,5,4,1.44,5,+ 1.0,2,0,0,0,0,4,0,1,100.0%,1,100.0%,2,0,2,1,2,22.3%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #5 T.S. / #10 Z.B. / #22 R.F.,0,0.0%,0.0%,0.0%,-,1,0,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,1,0.0%,0,0,2,0,0,- 2.0,0,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #22 R.F.,0,100.0%,0.0%,-,-,0,4,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,0,2,2,+ 2.0,0,0,0,0,0,2,0,0,-,0,-,0,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,0,0
#1 J.C. / #3 E.K. / #10 Z.B. / #20 J.F. / #22 R.F.,0,75.0%,33.3%,0.0%,-,0,0.88,0,1,2,50.0%,75.0%,0,0,0,-,0,1,2,50.0%,0,0,0,-,0,3,5,1,3,- 2.0,1,0,0,3,0,0,0,0,0.0%,0,-,0,0,1,1,1,33.3%,0,2,50.0%,1.5,0,-,0,0,0,1,0,2,0
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #22 R.F.,0,66.7%,0.0%,33.3%,85.7%,0,2.92,0,5,9,55.6%,66.7%,0,3,4,75.0%,0,2,5,40.0%,0,0,0,-,0,12,8,1.5,12,+ 4.0,5,0,3,0,2,6,0,1,33.3%,6,85.7%,7,0,5,0,0,0.0%,0,0,-,0,1,0.0%,0,0,1,0,3,2,0
#1 J.C. / #3 E.K. / #12 D.B. / #22 R.F. / #31 N.C.,0,0.0%,0.0%,100.0%,100.0%,4,0.67,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,2,4,50.0%,0,2,1,1.05,2,+ 1.0,1,0,0,0,1,0,0,1,100.0%,1,100.0%,2,0,0,0,0,0.0%,0,1,100.0%,1,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #14 J.Z. / #20 J.F. / #22 R.F.,0,50.0%,0.0%,0.0%,33.3%,0,0.6,0,1,3,33.3%,50.0%,0,0,2,0.0%,0,1,1,100.0%,0,0,0,-,0,3,3,1,3,0,2,0,0,0,0,0,0,0,0.0%,1,33.3%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,3,0
#1 J.C. / #3 E.K. / #14 J.Z. / #22 R.F. / #31 N.C.,0,75.0%,33.3%,100.0%,-,0,1.5,0,1,2,50.0%,75.0%,0,0,0,-,0,1,2,50.0%,0,0,0,-,0,3,3,1.5,3,0,1,0,0,0,3,0,0,1,100.0%,0,-,1,0,1,1,1,33.3%,0,1,100.0%,3,0,-,0,0,1,0,0,0,0
#1 J.C. / #3 E.K. / #15 P.K. / #20 J.F. / #22 R.F.,0,55.6%,4.8%,60.0%,53.3%,0.22,2.26,0,9,18,50.0%,55.6%,0,7,11,63.6%,0,2,7,28.6%,0,3,4,75.0%,0,23,6,1.54,23,+ 17.0,10,0,9,7,3,12,0,6,60.0%,8,53.3%,14,0,5,1,5,4.8%,0,0,-,0,1,100.0%,2,0,3,4,3,3,0
#1 J.C. / #3 E.K. / #15 P.K. / #21 J.J. / #22 R.F.,0,125.0%,0.0%,-,100.0%,0,10,0,2,2,100.0%,125.0%,0,1,1,100.0%,0,1,1,100.0%,0,0,0,-,0,5,5,2.5,5,0,2,0,0,0,0,2,0,0,-,1,100.0%,1,0,2,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
