MC @ SBCC — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #5 T.S. / #12 D.B. / #20 J.F.,0,50.0%,28.6%,0.0%,100.0%,0,1.3,0,2,5,40.0%,50.0%,0,1,2,50.0%,0,1,3,33.3%,0,0,0,-,0,5,4,0.71,5,+ 1.0,3,0,2,2,0,2,0,0,0.0%,2,100.0%,2,0,1,2,0.5,28.6%,0,0,-,0,0,-,0,0,1,2,0,0,0
#1 J.C. / #3 E.K. / #5 T.S. / #12 D.B. / #22 R.F.,0,25.0%,0.0%,25.0%,100.0%,0.5,0.55,0,1,4,25.0%,25.0%,0,1,3,33.3%,0,0,1,0.0%,0,1,2,50.0%,0,3,7,0.76,3,- 4.0,2,0,0,0,2,2,0,1,25.0%,2,100.0%,3,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,2,0
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #22 R.F.,0,0.0%,0.0%,0.0%,100.0%,0,0.25,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #10 Z.B. / #12 D.B. / #22 R.F.,0,0.0%,0.0%,0.0%,-,2,0.33,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,1,2,50.0%,0,1,5,0.51,1,- 4.0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #22 R.F.,0,63.9%,17.1%,25.0%,81.8%,0.17,1.9,0,10,18,55.6%,63.9%,0,7,9,77.8%,0,3,9,33.3%,0,1,3,33.3%,0,24,19,1.12,24,+ 5.0,13,0,11,9,2,12,0,2,25.0%,9,81.8%,11,0,10,4,2.5,17.1%,0,1,100.0%,2,1,0.0%,0,0,2,1,0,2,0
#1 J.C. / #3 E.K. / #14 J.Z. / #22 R.F. / #31 N.C.,0,0.0%,0.0%,0.0%,-,0,0,0,0,2,0.0%,0.0%,0,0,1,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #5 T.S. / #11 E.E. / #12 D.B. / #22 R.F.,0,-,0.0%,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,1,0.0%,0,0,1,0,0,- 1.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #5 T.S. / #11 E.E. / #12 D.B. / #31 N.C.,0,100.0%,22.9%,50.0%,-,5,1.4,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,2,5,40.0%,0,4,3,1.19,4,+ 1.0,1,0,0,0,1,2,0,1,50.0%,0,-,1,0,1,1,1,22.9%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #5 T.S. / #11 E.E. / #14 J.Z. / #31 N.C.,0,66.7%,40.0%,-,50.0%,0,1.4,0,4,6,66.7%,66.7%,0,4,5,80.0%,0,0,1,0.0%,0,0,0,-,0,8,5,0.8,8,+ 3.0,7,0,2,2,0,6,0,0,-,4,50.0%,4,0,4,4,1,40.0%,0,0,-,0,1,0.0%,0,0,2,0,4,4,0
#1 J.C. / #5 T.S. / #11 E.E. / #15 P.K. / #22 R.F.,0,50.0%,0.0%,50.0%,0.0%,0.5,1.43,0,2,4,50.0%,50.0%,0,2,4,50.0%,0,0,0,-,0,1,2,50.0%,0,5,2,1.27,5,+ 3.0,2,0,0,2,0,4,0,1,50.0%,0,0.0%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,1,0,1,0
#1 J.C. / #5 T.S. / #11 E.E. / #20 J.F. / #22 R.F.,0,12.5%,9.6%,42.9%,80.0%,0.38,0.48,0,1,8,12.5%,12.5%,0,1,3,33.3%,0,0,5,0.0%,0,2,3,66.7%,0,4,6,0.54,4,- 2.0,5,0,0,0,4,2,0,3,42.9%,4,80.0%,7,0,0,1,0,9.6%,0,0,-,0,0,-,0,0,1,0,0,3,0
#1 J.C. / #5 T.S. / #12 D.B. / #15 P.K. / #22 R.F.,0,100.0%,0.0%,-,-,2,2,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,2,2,100.0%,0,4,1,2.05,4,+ 3.0,1,0,0,0,0,2,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #5 T.S. / #12 D.B. / #22 R.F. / #31 N.C.,0,50.0%,50.0%,0.0%,100.0%,0,0.75,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,0,0,-,0,2,3,0.5,2,- 1.0,3,0,2,2,0,2,0,0,0.0%,2,100.0%,2,0,0,2,0,50.0%,0,0,-,0,0,-,0,0,1,1,0,1,0
#1 J.C. / #5 T.S. / #14 J.Z. / #15 P.K. / #21 J.J.,0,150.0%,50.0%,-,-,0,1.25,0,1,1,100.0%,150.0%,0,0,0,-,0,1,1,100.0%,0,0,0,-,0,3,2,1.5,3,+ 1.0,2,0,0,0,0,0,0,0,-,0,-,0,0,1,1,1,50.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #11 E.E. / #12 D.B. / #15 P.K. / #22 R.F.,0,-,0.0%,-,-,0,4,0,0,0,-,-,0,0,0,-,0,0,0,-,0,2,3,66.7%,0,2,0,1.4,2,+ 2.0,1,0,0,1,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,1,0,0,0
