MC vs Ventura College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #5 T.S. / #11 E.E. / #20 J.F.,0,100.0%,0.0%,-,-,1,1.67,0,2,2,100.0%,100.0%,0,2,2,100.0%,0,0,0,-,0,1,2,50.0%,0,5,5,1.69,5,0,1,0,0,0,0,2,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #11 E.E. / #22 R.F.,0,62.5%,18.3%,0.0%,100.0%,0.25,1.5,0,2,4,50.0%,62.5%,0,1,1,100.0%,0,1,3,33.3%,0,1,1,100.0%,0,6,5,1.1,6,+ 1.0,3,0,0,0,0,2,0,0,0.0%,2,100.0%,2,0,2,1,2,18.3%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #12 D.B. / #22 R.F.,0,100.0%,0.0%,0.0%,50.0%,0.2,4,0,4,5,80.0%,100.0%,0,2,3,66.7%,0,2,2,100.0%,0,1,1,100.0%,0,11,7,2.01,11,+ 4.0,3,0,2,5,0,2,0,0,0.0%,1,50.0%,1,0,4,0,0,0.0%,0,0,-,0,0,-,0,0,1,1,1,2,0
#1 J.C. / #3 E.K. / #5 T.S. / #14 J.Z. / #22 R.F.,0,-,-,-,0.0%,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,0,0,- 1.0,0,0,0,0,0,0,0,0,-,0,0.0%,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #22 R.F.,0,65.4%,15.5%,33.3%,33.3%,0.54,1.24,0,7,13,53.8%,65.4%,0,4,7,57.1%,0,3,6,50.0%,0,6,7,85.7%,0,23,25,1.33,23,- 2.0,9,0,3,3,4,8,0,2,33.3%,3,33.3%,5,0,2,3,0.67,15.5%,0,0,-,0,0,-,0,0,1,2,0,5,0
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #22 R.F.,0,40.9%,12.6%,50.0%,33.3%,0.55,0.68,0,4,11,36.4%,40.9%,0,3,7,42.9%,0,1,4,25.0%,0,3,6,50.0%,0,12,16,1.01,12,- 4.0,8,0,0,0,3,2,0,4,50.0%,3,33.3%,7,0,3,2,1.5,12.6%,0,1,100.0%,2,2,50.0%,0.5,0,4,0,0,8,0
#1 J.C. / #3 E.K. / #14 J.Z. / #20 J.F. / #22 R.F.,0,75.0%,0.0%,0.0%,100.0%,0,1.5,0,1,2,50.0%,75.0%,0,0,0,-,0,1,2,50.0%,0,0,0,-,0,3,4,1.5,3,- 1.0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,1,0
#1 J.C. / #5 T.S. / #11 E.E. / #12 D.B. / #22 R.F.,0,33.3%,31.7%,66.7%,50.0%,0.17,0.75,0,2,6,33.3%,33.3%,0,2,3,66.7%,0,0,3,0.0%,0,1,1,100.0%,0,5,7,0.67,5,- 2.0,4,0,0,0,2,4,0,2,66.7%,1,50.0%,3,0,1,3,0.33,31.7%,0,1,0.0%,0,1,0.0%,0,0,2,1,0,1,0
#1 J.C. / #5 T.S. / #11 E.E. / #14 J.Z. / #20 J.F.,0,0.0%,0.0%,0.0%,50.0%,0,0.3,0,0,4,0.0%,0.0%,0,0,1,0.0%,0,0,3,0.0%,0,0,0,-,0,0,3,0,0,- 3.0,2,0,0,0,0,0,0,0,0.0%,1,50.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,1,0,1,0
#1 J.C. / #5 T.S. / #12 D.B. / #20 J.F. / #22 R.F.,0,0.0%,0.0%,100.0%,-,0,0.17,0,0,2,0.0%,0.0%,0,0,1,0.0%,0,0,1,0.0%,0,0,0,-,0,0,3,0,0,- 3.0,1,0,0,0,0,0,0,1,100.0%,0,-,1,0,0,0,0,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #5 T.S. / #12 D.B. / #22 R.F. / #31 N.C.,0,37.5%,0.0%,33.3%,75.0%,1.25,1.36,0,1,4,25.0%,37.5%,0,0,2,0.0%,0,1,2,50.0%,0,4,5,80.0%,0,7,3,1.3,7,+ 4.0,3,0,0,3,0,0,0,1,33.3%,3,75.0%,4,0,1,0,0,0.0%,0,1,0.0%,0,1,200.0%,2,0,1,1,0,2,0
#1 J.C. / #5 T.S. / #14 J.Z. / #22 R.F. / #31 N.C.,0,66.7%,25.0%,0.0%,40.0%,0,1,0,2,3,66.7%,66.7%,0,2,3,66.7%,0,0,0,-,0,0,0,-,0,4,5,1,4,- 1.0,2,0,0,0,0,2,0,0,0.0%,2,40.0%,2,0,0,1,0,25.0%,0,1,100.0%,2,0,-,0,0,1,0,0,1,0
#1 J.C. / #5 T.S. / #20 J.F. / #22 R.F. / #31 N.C.,0,0.0%,0.0%,-,-,0,0,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#3 E.K. / #5 T.S. / #12 D.B. / #22 R.F. / #31 N.C.,0,60.0%,13.5%,50.0%,50.0%,0.6,2.33,0,3,5,60.0%,60.0%,0,3,5,60.0%,0,0,0,-,0,3,3,100.0%,0,9,4,1.4,9,+ 5.0,3,0,2,1,2,4,0,1,50.0%,2,50.0%,3,0,0,1,0,13.5%,0,1,0.0%,0,0,-,0,0,0,1,0,0,0
