MC vs Cuesta College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #2 A.B. / #11 E.E. / #12 D.B. / #22 R.F.,0,50.0%,0.0%,0.0%,100.0%,0,0.75,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,0,0,-,0,2,0,1,2,+ 2.0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,1,0
#1 J.C. / #3 E.K. / #10 Z.B. / #14 J.Z. / #20 J.F.,0,150.0%,0.0%,-,-,2,2,0,1,1,100.0%,150.0%,0,0,0,-,0,1,1,100.0%,0,1,2,50.0%,0,4,6,2.05,4,- 2.0,1,0,0,0,0,0,0,0,-,0,-,0,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #10 Z.B. / #14 J.Z. / #22 R.F.,0,0.0%,0.0%,0.0%,-,0,0,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,3,0,0,- 3.0,0,0,0,0,0,0,0,0,0.0%,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #11 E.E. / #14 J.Z. / #20 J.F.,0,25.0%,30.9%,33.3%,100.0%,0.25,0.8,0,1,4,25.0%,25.0%,0,1,2,50.0%,0,0,2,0.0%,0,1,1,100.0%,0,3,2,0.55,3,+ 1.0,2,0,0,2,0,2,0,1,33.3%,2,100.0%,3,0,0,2,0,30.9%,0,0,-,0,0,-,0,0,2,1,0,0,0
#1 J.C. / #3 E.K. / #11 E.E. / #20 J.F. / #31 N.C.,0,33.3%,0.0%,0.0%,100.0%,0,0.5,0,1,3,33.3%,33.3%,0,1,1,100.0%,0,0,2,0.0%,0,0,0,-,0,2,3,0.67,2,- 1.0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,1,100.0%,2,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #12 D.B. / #14 J.Z. / #22 R.F.,0,62.5%,30.9%,0.0%,100.0%,0.25,0.81,0,2,4,50.0%,62.5%,0,1,3,33.3%,0,1,1,100.0%,0,1,1,100.0%,0,6,3,0.93,6,+ 3.0,4,0,0,3,0,2,0,0,0.0%,3,100.0%,3,0,1,2,0.5,30.9%,0,0,-,0,0,-,0,0,1,1,0,4,0
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #22 R.F.,0,100.0%,50.0%,-,100.0%,0,0.75,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,0,1,2,+ 2.0,1,0,0,0,0,2,0,0,-,1,100.0%,1,0,0,1,0,50.0%,0,1,100.0%,2,1,100.0%,2,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #31 N.C.,0,-,-,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,0,0,- 1.0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #12 D.B. / #22 R.F. / #30 C.S.,0,50.0%,25.3%,0.0%,100.0%,1,0.5,0,1,2,50.0%,50.0%,0,1,2,50.0%,0,0,0,-,0,0,2,0.0%,0,2,2,0.51,2,0,2,0,0,0,0,2,0,0,0.0%,2,100.0%,2,0,0,1,0,25.3%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #12 D.B. / #22 R.F. / #31 N.C.,0,-,0.0%,-,-,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,1,1,100.0%,0,1,0,2.11,1,+ 1.0,-,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
