MC vs — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #5 T.S. / #11 E.E. / #12 D.B.,0,20.0%,28.6%,100.0%,75.0%,0,0.92,0,1,5,20.0%,20.0%,0,1,2,50.0%,0,0,3,0.0%,0,0,0,-,0,2,4,0.67,2,- 2.0,3,0,0,0,0,2,0,4,100.0%,3,75.0%,7,0,1,2,0.5,28.6%,0,0,-,0,2,0.0%,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #5 T.S. / #12 D.B. / #20 J.F.,0,0.0%,0.0%,0.0%,100.0%,0,0.25,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,2,0,0,- 2.0,0,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #12 D.B. / #22 R.F.,0,50.0%,20.0%,0.0%,33.3%,0,0.63,0,2,4,50.0%,50.0%,0,2,3,66.7%,0,0,1,0.0%,0,0,0,-,0,4,6,0.8,4,- 2.0,3,0,0,0,0,4,0,0,0.0%,1,33.3%,1,0,0,1,0,20.0%,0,0,-,0,1,0.0%,0,0,1,0,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #22 R.F.,0,52.9%,9.8%,25.0%,54.5%,0.18,1.73,0,8,17,47.1%,52.9%,0,6,10,60.0%,0,2,7,28.6%,0,3,3,100.0%,0,21,16,1.14,21,+ 5.0,11,0,0,5,2,6,0,2,25.0%,6,54.5%,8,0,4,2,2,9.8%,0,3,66.7%,1.33,2,50.0%,1.5,0,1,3,1,2,0
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #31 N.C.,0,81.3%,11.1%,33.3%,100.0%,0,2.25,0,5,8,62.5%,81.3%,0,2,3,66.7%,0,3,5,60.0%,0,0,0,-,0,13,6,1.63,13,+ 7.0,6,0,2,2,0,4,0,1,33.3%,5,100.0%,6,0,3,1,3,11.1%,0,0,-,0,2,50.0%,1.5,0,0,1,0,2,0
#1 J.C. / #3 E.K. / #11 E.E. / #12 D.B. / #31 N.C.,0,40.0%,16.7%,33.3%,-,0,0.58,0,2,5,40.0%,40.0%,0,2,3,66.7%,0,0,2,0.0%,0,0,0,-,0,4,6,0.8,4,- 2.0,3,0,0,0,2,4,0,1,33.3%,0,-,1,0,0,1,0,16.7%,0,1,0.0%,0,1,100.0%,2,0,1,1,0,2,0
#1 J.C. / #3 E.K. / #12 D.B. / #22 R.F. / #31 N.C.,0,70.0%,28.6%,0.0%,50.0%,0,1.17,0,3,5,60.0%,70.0%,0,2,2,100.0%,0,1,3,33.3%,0,0,0,-,0,7,9,1,7,- 2.0,4,0,2,2,0,4,0,0,0.0%,1,50.0%,1,0,1,2,0.5,28.6%,0,1,0.0%,0,1,100.0%,3,0,0,2,0,2,0
#1 J.C. / #5 T.S. / #11 E.E. / #12 D.B. / #31 N.C.,0,0.0%,0.0%,0.0%,50.0%,0,0.17,0,0,3,0.0%,0.0%,0,0,1,0.0%,0,0,2,0.0%,0,0,0,-,0,0,2,0,0,- 2.0,2,0,0,0,0,0,0,0,0.0%,1,50.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #5 T.S. / #12 D.B. / #20 J.F. / #31 N.C.,0,50.0%,0.0%,0.0%,-,0,1.25,0,1,3,33.3%,50.0%,0,0,0,-,0,1,3,33.3%,0,0,0,-,0,3,5,1,3,- 2.0,2,0,0,0,0,0,0,0,0.0%,0,-,0,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,0,0
#3 E.K. / #5 T.S. / #12 D.B. / #20 J.F. / #22 R.F.,0,95.0%,13.5%,25.0%,83.3%,0.6,2.39,0,7,10,70.0%,95.0%,0,2,3,66.7%,0,5,7,71.4%,0,4,6,66.7%,0,23,15,1.66,23,+ 8.0,8,0,2,3,0,4,0,1,25.0%,5,83.3%,6,0,6,2,3,13.5%,0,0,-,0,0,-,0,0,2,1,0,3,0
#5 T.S. / #11 E.E. / #12 D.B. / #20 J.F. / #22 R.F.,0,0.0%,0.0%,0.0%,0.0%,0,0,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
