MC @ Oxnard College — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #22 R.F.,0,39.5%,9.5%,41.7%,75.0%,0,1.09,0,7,19,36.8%,39.5%,0,6,8,75.0%,0,1,11,9.1%,0,0,0,-,0,15,14,0.94,15,+ 1.0,9,0,2,0,4,12,0,5,41.7%,9,75.0%,14,0,3,2,1.5,9.5%,0,2,0.0%,0,0,-,0,0,1,0,1,3,0
#1 J.C. / #3 E.K. / #5 T.S. / #20 J.F. / #33 T.H.,0,110.0%,28.6%,0.0%,100.0%,0,2.63,0,4,5,80.0%,110.0%,0,1,1,100.0%,0,3,4,75.0%,0,0,0,-,0,11,7,1.57,11,+ 4.0,4,0,0,0,0,2,0,0,0.0%,4,100.0%,4,0,3,2,1.5,28.6%,0,0,-,0,1,0.0%,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #22 R.F. / #31 N.C.,0,0.0%,50.0%,0.0%,100.0%,0,0.25,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,1,0,50.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #11 E.E. / #12 D.B. / #31 N.C.,0,150.0%,31.1%,-,50.0%,1,5.5,0,3,3,100.0%,150.0%,0,0,0,-,0,3,3,100.0%,0,3,3,100.0%,0,12,0,1.87,12,+ 12.0,3,0,0,6,0,0,0,0,-,2,50.0%,2,0,3,2,1.5,31.1%,0,1,100.0%,3,0,-,0,0,0,0,1,0,0
#1 J.C. / #3 E.K. / #12 D.B. / #15 P.K. / #22 R.F.,0,133.3%,25.0%,-,100.0%,0,9.5,0,3,3,100.0%,133.3%,0,1,1,100.0%,0,2,2,100.0%,0,0,0,-,0,8,1,2,8,+ 7.0,1,0,2,5,0,2,0,0,-,1,100.0%,1,0,3,1,3,25.0%,0,0,-,0,0,-,0,0,2,2,0,0,0
#1 J.C. / #3 E.K. / #12 D.B. / #15 P.K. / #31 N.C.,0,50.0%,0.0%,0.0%,100.0%,0,1.67,0,2,5,40.0%,50.0%,0,1,4,25.0%,0,1,1,100.0%,0,0,0,-,0,5,9,1,5,- 4.0,3,0,0,0,0,2,0,0,0.0%,1,100.0%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,1,1,0,0,0
#1 J.C. / #3 E.K. / #12 D.B. / #22 R.F. / #31 N.C.,0,-,100.0%,-,100.0%,0,0.75,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,1,0,0,3,0,0,0,0,-,1,100.0%,1,0,0,1,0,100.0%,0,0,-,0,0,-,0,0,0,0,1,1,0
#1 J.C. / #3 E.K. / #14 J.Z. / #15 P.K. / #22 R.F.,0,25.0%,20.0%,66.7%,100.0%,0,0.6,0,1,4,25.0%,25.0%,0,1,3,33.3%,0,0,1,0.0%,0,0,0,-,0,2,1,0.67,2,+ 1.0,2,0,2,0,0,2,0,2,66.7%,2,100.0%,4,0,0,1,0,20.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #20 J.F. / #32 E.M. / #33 T.H.,0,0.0%,66.7%,0.0%,50.0%,0,0.25,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,4,0,0,- 4.0,1,0,0,0,0,0,0,0,0.0%,2,50.0%,2,0,0,2,0,66.7%,0,0,-,0,1,0.0%,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #21 J.J. / #32 E.M. / #33 T.H.,0,50.0%,0.0%,100.0%,100.0%,0,1.5,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,0,0,-,0,2,1,2,2,+ 1.0,1,0,0,0,2,0,0,1,100.0%,1,100.0%,2,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
