MC vs — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #5 T.S. / #12 D.B. / #22 R.F.,0,37.5%,20.0%,14.3%,100.0%,0,1.15,0,4,12,33.3%,37.5%,0,3,6,50.0%,0,1,6,16.7%,0,0,0,-,0,9,12,0.64,9,- 3.0,7,0,5,2,0,6,0,1,14.3%,6,100.0%,7,0,4,3,1.33,20.0%,0,1,100.0%,2,2,50.0%,1,0,1,2,1,2,0
#1 J.C. / #3 E.K. / #5 T.S. / #14 J.Z. / #31 N.C.,0,0.0%,50.0%,0.0%,100.0%,0,0.17,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,3,0,0,- 3.0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,1,0,50.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #15 P.K. / #21 J.J.,0,0.0%,0.0%,100.0%,0.0%,1,0.33,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,1,0.0%,0,0,2,0,0,- 2.0,1,0,0,0,0,0,0,1,100.0%,0,0.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #10 Z.B. / #15 P.K. / #30 C.S.,0,78.6%,22.2%,33.3%,100.0%,0,1.64,0,4,7,57.1%,78.6%,0,1,2,50.0%,0,3,5,60.0%,0,0,0,-,0,11,8,1.38,11,+ 3.0,4,0,0,0,3,2,0,1,33.3%,5,100.0%,6,0,3,2,1.5,22.2%,0,0,-,0,0,-,0,0,1,0,0,2,0
#1 J.C. / #3 E.K. / #11 E.E. / #14 J.Z. / #31 N.C.,0,100.0%,0.0%,-,-,0,4,0,1,1,100.0%,100.0%,0,1,1,100.0%,0,0,0,-,0,0,0,-,0,2,3,2,2,- 1.0,1,0,0,0,0,2,0,0,-,0,-,0,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #11 E.E. / #22 R.F. / #31 N.C.,0,0.0%,0.0%,100.0%,-,0,0.25,0,0,2,0.0%,0.0%,0,0,0,-,0,0,2,0.0%,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0%,0,-,1,0,0,0,0,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #12 D.B. / #15 P.K. / #21 J.J.,0,50.0%,0.0%,100.0%,100.0%,0,1.33,0,2,4,50.0%,50.0%,0,2,4,50.0%,0,0,0,-,0,0,0,-,0,4,0,2,4,+ 4.0,1,0,0,0,2,4,0,2,100.0%,2,100.0%,4,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,1,0,0,1,0
#1 J.C. / #3 E.K. / #12 D.B. / #15 P.K. / #30 C.S.,0,150.0%,0.0%,0.0%,50.0%,1,2,0,1,1,100.0%,150.0%,0,0,0,-,0,1,1,100.0%,0,0,1,0.0%,0,3,0,2.03,3,+ 3.0,1,0,3,0,0,0,0,0,0.0%,1,50.0%,1,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #12 D.B. / #22 R.F. / #31 N.C.,0,-,100.0%,-,-,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,1,0,100.0%,0,0,-,0,1,0.0%,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #14 J.Z. / #15 P.K. / #30 C.S.,0,0.0%,0.0%,-,100.0%,0,0.5,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
