MC vs — All Athletes — Averages
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
#1 J.C. / #3 E.K. / #5 T.S. / #10 Z.B. / #22 R.F.,0,50.0%,11.2%,75.0%,-,0.67,1.25,0,3,6,50.0%,50.0%,0,3,4,75.0%,0,0,2,0.0%,0,2,4,50.0%,0,8,4,1.36,8,+ 4.0,2,0,0,2,6,6,0,3,75.0%,0,-,3,0,1,1,1,11.2%,0,0,-,0,1,0.0%,0,0,1,1,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #11 E.E. / #33 T.H.,0,0.0%,0.0%,0.0%,100.0%,1,0.5,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,1,1,100.0%,0,1,0,0.68,1,+ 1.0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #5 T.S. / #12 D.B. / #22 R.F.,0,12.5%,30.9%,28.6%,60.0%,0.25,0.7,0,1,8,12.5%,12.5%,0,1,4,25.0%,0,0,4,0.0%,0,2,2,100.0%,0,4,8,0.37,4,- 4.0,6,0,0,2,2,2,0,2,28.6%,3,60.0%,5,0,1,4,0.25,30.9%,0,3,33.3%,0.67,0,-,0,0,4,4,1,4,0
#1 J.C. / #3 E.K. / #5 T.S. / #22 R.F. / #31 N.C.,0,40.0%,8.7%,33.3%,75.0%,0.1,1.43,0,4,10,40.0%,40.0%,0,4,7,57.1%,0,0,3,0.0%,0,1,1,100.0%,0,9,6,0.95,9,+ 3.0,6,0,0,7,0,4,0,2,33.3%,3,75.0%,5,0,2,1,2,8.7%,0,0,-,0,0,-,0,0,2,1,0,0,0
#1 J.C. / #3 E.K. / #10 Z.B. / #12 D.B. / #22 R.F.,0,75.0%,25.3%,0.0%,100.0%,1,0.8,0,1,2,50.0%,75.0%,0,0,0,-,0,1,2,50.0%,0,0,2,0.0%,0,3,5,0.76,3,- 2.0,3,0,0,1,0,0,0,0,0.0%,1,100.0%,1,0,1,1,1,25.3%,0,0,-,0,1,0.0%,0,0,4,1,0,2,0
#1 J.C. / #3 E.K. / #12 D.B. / #14 J.Z. / #15 P.K.,0,0.0%,40.4%,50.0%,100.0%,1,0.57,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,0,0,0,1,0,0,0,0,0,0,1,50.0%,1,100.0%,2,0,0,1,0,40.4%,0,0,-,0,0,-,0,0,0,0,1,1,0
#1 J.C. / #3 E.K. / #12 D.B. / #14 J.Z. / #21 J.J.,0,0.0%,0.0%,40.0%,100.0%,1,0.78,0,0,4,0.0%,0.0%,0,0,1,0.0%,0,0,3,0.0%,0,3,4,75.0%,0,3,3,0.77,3,0,2,0,0,0,1,0,0,2,40.0%,2,100.0%,4,0,0,0,0,0.0%,0,0,-,0,2,0.0%,0,0,0,0,0,0,0
#1 J.C. / #3 E.K. / #12 D.B. / #15 P.K. / #22 R.F.,0,-,100.0%,-,0.0%,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,3,0,0,- 3.0,1,0,0,0,0,0,0,0,-,0,0.0%,0,0,0,1,0,100.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#1 J.C. / #3 E.K. / #12 D.B. / #22 R.F. / #31 N.C.,0,60.0%,16.7%,33.3%,100.0%,0,1.88,0,2,5,40.0%,60.0%,0,0,1,0.0%,0,2,4,50.0%,0,0,0,-,0,6,4,1.2,6,+ 2.0,3,0,0,0,0,0,0,1,33.3%,2,100.0%,3,0,2,1,2,16.7%,0,0,-,0,3,66.7%,2,0,0,1,0,0,0
#1 J.C. / #3 E.K. / #14 J.Z. / #21 J.J. / #31 N.C.,0,50.0%,33.3%,0.0%,50.0%,0,0.88,0,1,2,50.0%,50.0%,0,1,1,100.0%,0,0,1,0.0%,0,0,0,-,0,2,2,0.67,2,0,2,0,0,0,0,2,0,0,0.0%,1,50.0%,1,0,1,1,1,33.3%,0,0,-,0,0,-,0,0,0,1,0,2,0
#1 J.C. / #3 E.K. / #14 J.Z. / #22 R.F. / #31 N.C.,0,25.0%,20.2%,40.0%,100.0%,0.67,0.77,0,1,6,16.7%,25.0%,0,0,5,0.0%,0,1,1,100.0%,0,4,4,100.0%,0,7,6,0.89,7,+ 1.0,5,0,0,2,0,0,0,2,40.0%,2,100.0%,4,0,1,2,0.5,20.2%,0,0,-,0,2,100.0%,1,0,0,1,0,4,1
#1 J.C. / #3 E.K. / #15 P.K. / #22 R.F. / #31 N.C.,0,0.0%,0.0%,0.0%,50.0%,0,0.17,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,1,0,0,- 1.0,1,0,0,0,0,0,0,0,0.0%,1,50.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,2,0
#1 J.C. / #5 T.S. / #11 E.E. / #14 J.Z. / #31 N.C.,0,60.0%,0.0%,33.3%,100.0%,0.6,2.71,0,3,5,60.0%,60.0%,0,3,3,100.0%,0,0,2,0.0%,0,2,3,66.7%,0,8,7,1.47,8,+ 1.0,4,0,4,4,0,6,0,1,33.3%,2,100.0%,3,0,2,0,0,0.0%,0,0,-,0,0,-,0,0,1,2,0,1,0
#1 J.C. / #5 T.S. / #14 J.Z. / #15 P.K. / #31 N.C.,0,75.0%,0.0%,0.0%,-,0,2.5,0,1,2,50.0%,75.0%,0,0,1,0.0%,0,1,1,100.0%,0,0,0,-,0,3,7,1.5,3,- 4.0,1,0,0,0,0,0,0,0,0.0%,0,-,0,0,1,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0
#1 J.C. / #12 D.B. / #15 P.K. / #22 R.F. / #31 N.C.,0,0.0%,0.0%,0.0%,0.0%,0,1,0,0,1,0.0%,0.0%,0,0,0,-,0,0,1,0.0%,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,1,0,0
#1 J.C. / #14 J.Z. / #15 P.K. / #22 R.F. / #31 N.C.,0,0.0%,66.7%,0.0%,100.0%,0,0.17,0,0,1,0.0%,0.0%,0,0,1,0.0%,0,0,0,-,0,0,0,-,0,0,6,0,0,- 6.0,1,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,2,0,66.7%,0,0,-,0,0,-,0,0,0,0,0,0,0
#3 E.K. / #5 T.S. / #10 Z.B. / #22 R.F. / #33 T.H.,0,75.0%,0.0%,0.0%,100.0%,0,1,0,1,2,50.0%,75.0%,0,0,0,-,0,1,2,50.0%,0,0,0,-,0,3,2,1.5,3,+ 1.0,0,0,0,0,0,0,0,0,0.0%,1,100.0%,1,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0
#3 E.K. / #11 E.E. / #12 D.B. / #22 R.F. / #31 N.C.,0,0.0%,0.0%,0.0%,66.7%,0.33,0.83,0,0,3,0.0%,0.0%,0,0,3,0.0%,0,0,0,-,0,1,1,100.0%,0,1,2,0.29,1,- 1.0,2,0,0,0,0,0,0,0,0.0%,2,66.7%,2,0,0,0,0,0.0%,0,0,-,0,0,-,0,0,0,0,1,0,0
