conference,team,name,games,pos_class,pos_no_ht,height,p_pg,p_sg,p_sf,p_pf,p_c
Bay Valley,Alameda,Ahmaree Muhammad,25,CG,CG,,39.3,59.8,0.8,0.0,0.0
Bay Valley,Alameda,Barry Stewart,16,CG,CG,,34.8,35.8,26.3,0.2,3.0
Bay Valley,Alameda,Darius Mason,28,PF/C,PF/C,,0.0,0.2,17.7,43.5,38.6
Bay Valley,Alameda,Esubalow Thomas,14,WF,WF,,0.2,1.0,62.0,35.6,1.2
Bay Valley,Alameda,Isaiah Fortenberry,31,PF/C,PF/C,,0.0,1.4,11.2,28.7,58.7
Bay Valley,Alameda,Isaiah Hill,25,WG,WG,,4.5,74.9,8.9,3.1,8.7
Bay Valley,Alameda,Jalen Scott,29,CG,CG,,30.8,64.5,4.2,0.0,0.4
Bay Valley,Alameda,Jamahni Walker,15,CG,CG,,23.3,69.4,6.9,0.1,0.4
Bay Valley,Alameda,Jimmy Bush,26,s-PG,s-PG,,60.2,37.3,2.5,0.0,0.0
Bay Valley,Alameda,Myles De Los Santos Moore,20,WG,WG,,8.7,16.5,72.0,2.2,0.6
Bay Valley,Contra Costa,Amari Robinson,26,CG,CG,,37.3,56.0,5.2,0.1,1.5
Bay Valley,Contra Costa,Ben Tschida,26,CG,CG,,31.6,54.4,12.8,0.1,1.1
Bay Valley,Contra Costa,Bobby Williams,26,S-PF,S-PF,,0.9,20.2,14.6,35.7,28.7
Bay Valley,Contra Costa,Cameron Armstrong,23,CG,CG,,44.9,52.0,2.6,0.2,0.3
Bay Valley,Contra Costa,Carlos Mitchell,19,WG,WG,,35.5,2.4,51.4,9.7,1.0
Bay Valley,Contra Costa,Dylan Cox,27,CG,CG,,27.3,46.4,17.9,1.1,7.3
Bay Valley,Contra Costa,Evin Goodwin,27,WG,WG,,14.6,68.8,13.7,0.4,2.5
Bay Valley,Contra Costa,Jamil Harris,25,CG,CG,,14.2,76.0,8.4,0.6,0.9
Bay Valley,Contra Costa,Joseph Gould,26,CG,CG,,38.4,61.4,0.1,0.0,0.2
Bay Valley,Contra Costa,Kamron Robinson,15,C,C,,0.0,0.1,0.6,5.3,94.0
Bay Valley,Contra Costa,Niko Gamble,8,CG,CG,,47.4,43.9,6.3,0.0,2.3
Bay Valley,Los Medanos,Ashlynd Rhett,28,C,C,,0.3,1.6,0.6,2.8,94.7
Bay Valley,Los Medanos,Austin Drollinger,24,PG,PG,,87.4,10.6,1.6,0.0,0.4
Bay Valley,Los Medanos,Derek Covert,22,PG,PG,,98.8,1.1,0.1,0.0,0.0
Bay Valley,Los Medanos,Diego Lopez,28,s-PG,s-PG,,54.9,34.9,6.7,0.2,3.3
Bay Valley,Los Medanos,Dominick Dennis,28,PF/C,PF/C,,0.2,0.4,4.5,86.9,8.1
Bay Valley,Los Medanos,Jacob Hodges,28,PG,PG,,90.6,9.4,0.0,0.0,0.0
Bay Valley,Los Medanos,Jamarco Johnson,16,PG,PG,,100.0,0.0,0.0,0.0,0.0
Bay Valley,Los Medanos,Kye Hubbart,27,CG,CG,,42.8,44.6,8.6,0.6,3.5
Bay Valley,Los Medanos,Tochi Onyeador,28,C,C,,0.0,0.0,0.0,0.0,100.0
Bay Valley,Los Medanos,Trevon O'Neal,28,s-PG,s-PG,,71.4,27.3,0.6,0.2,0.6
Bay Valley,Los Medanos,Victor Montez,26,CG,CG,,21.5,63.9,3.6,0.4,10.5
Bay Valley,Marin,Akili Johnson,24,C,C,,0.0,0.0,0.1,14.0,85.9
Bay Valley,Marin,Alex Miazga,19,WG,WG,,6.3,41.3,32.1,2.3,17.9
Bay Valley,Marin,Caijonte Andrews,24,CG,CG,,37.0,53.1,7.5,0.7,1.7
Bay Valley,Marin,Denim Tuala-Fata,14,S-PF,S-PF,,0.0,0.3,17.0,75.7,7.0
Bay Valley,Marin,Ismael Ngom,14,WG,WG,,4.9,38.9,30.1,9.4,16.8
Bay Valley,Marin,Jabez Worthington,23,S-PF,S-PF,,0.4,2.0,23.1,72.9,1.6
Bay Valley,Marin,Josh Clark,23,s-PG,s-PG,,58.0,41.5,0.4,0.0,0.1
Bay Valley,Marin,K'Hamani Olivacce,25,CG,CG,,44.1,54.6,1.3,0.0,0.1
