team,status,png_path,raw_path,source_url,source_type,score
Alameda,exists,internal_data/team_logos/png/alameda.png,,https://cccmbca.org/action/cdn/logos/id/3skzkl0r0uieyd6y.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Allan Hancock,exists,internal_data/team_logos/png/allan_hancock.png,,https://cccmbca.org/action/cdn/logos/id/m4w6fpbugn7yamrh.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
American River,exists,internal_data/team_logos/png/american_river.png,,https://cccmbca.org/action/cdn/logos/id/5gehvqm02h6px1z7.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Antelope Valley,exists,internal_data/team_logos/png/antelope_valley.png,,https://cccmbca.org/action/cdn/logos/id/kdc4kkht0swabzq4.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Bakersfield,exists,internal_data/team_logos/png/bakersfield.png,,https://cccmbca.org/action/cdn/logos/id/48n3oo7k45o8prjt.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Barstow,exists,internal_data/team_logos/png/barstow.png,,https://cccmbca.org/action/cdn/logos/id/590secz6pom7hlec.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Butte,exists,internal_data/team_logos/png/butte.png,,https://cccmbca.org/action/cdn/logos/id/4ks0mz7cxa0hvqp4.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Cabrillo,exists,internal_data/team_logos/png/cabrillo.png,,https://cccmbca.org/action/cdn/logos/id/3t972ctdehfmon3g.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Canada,exists,internal_data/team_logos/png/canada.png,,https://cccmbca.org/action/cdn/logos/id/0s7z3fd8bt25fft9.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Canyons,exists,internal_data/team_logos/png/canyons.png,,https://cccmbca.org/action/cdn/logos/id/i7pyhvuevvysyvb0.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Cerritos,exists,internal_data/team_logos/png/cerritos.png,,https://cccmbca.org/action/cdn/logos/id/dziobktdz9mi4m2x.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Cerro Coso,exists,internal_data/team_logos/png/cerro_coso.png,,https://cccmbca.org/action/cdn/logos/id/khj6uixpofw5qt7g.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Chabot,exists,internal_data/team_logos/png/chabot.png,,https://cccmbca.org/action/cdn/logos/id/iubn3xz9e3nkpf78.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Chaffey,exists,internal_data/team_logos/png/chaffey.png,,https://cccmbca.org/action/cdn/logos/id/lgxaeymyjf9cnm66.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Citrus,exists,internal_data/team_logos/png/citrus.png,,https://cccmbca.org/action/cdn/logos/id/lwqojrbe0sfixt3l.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Coalinga,exists,internal_data/team_logos/png/coalinga.png,,https://cccmbca.org/action/cdn/logos/id/omiqcasqkykab2rw.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Columbia,exists,internal_data/team_logos/png/columbia.png,,https://cccmbca.org/action/cdn/logos/id/p5h61tqcxmqwvrgm.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Compton,exists,internal_data/team_logos/png/compton.png,,https://cccmbca.org/action/cdn/logos/id/8m5ra5r3265fqm4a.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Contra Costa,exists,internal_data/team_logos/png/contra_costa.png,,https://cccmbca.org/action/cdn/logos/id/k5sdirydxszj08g3.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Copper Mountain,exists,internal_data/team_logos/png/copper_mountain.png,,https://cccmbca.org/action/cdn/logos/id/79y12bjjz3yi2ey0.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Cosumnes River,exists,internal_data/team_logos/png/cosumnes_river.png,,https://cccmbca.org/action/cdn/logos/id/nvz0rno48mjr0wbt.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Cuesta,exists,internal_data/team_logos/png/cuesta.png,,https://cccmbca.org/action/cdn/logos/id/scwdf9z7d9ome000.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Cuyamaca,exists,internal_data/team_logos/png/cuyamaca.png,,https://cccmbca.org/action/cdn/logos/id/9t7kjho6obrlhawd.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Cypress,exists,internal_data/team_logos/png/cypress.png,,https://cccmbca.org/action/cdn/logos/id/zfiidrmtknjssmxl.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
De Anza,exists,internal_data/team_logos/png/de_anza.png,,https://cccmbca.org/action/cdn/logos/id/vdyj3b7kt1o9u3lj.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Desert,exists,internal_data/team_logos/png/desert.png,,https://cccmbca.org/action/cdn/logos/id/j7ojgzl7t47lu25i.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
Diablo Valley,exists,internal_data/team_logos/png/diablo_valley.png,,https://cccmbca.org/action/cdn/logos/id/qh463xnmke29fpi3.png?max_height=576&max_width=576&crop=1,cccmbca_teams_table,
